"","location_name","val","upper","lower","location"
"183","Republic of Haiti",429.67,506,359.14,"Haiti"
"184","Principality of Andorra",232.95,298.5,183.35,"Andorra"
"185","Kingdom of the Netherlands",265.38,325.48,215.23,"Netherlands"
"186","Republic of Trinidad and Tobago",469.08,583.02,371.17,"Trinidad"
"187","Republic of El Salvador",358.45,442.48,286.53,"El Salvador"
"188","United States of America",225.72,262.51,190.67,"USA"
"189","Republic of Iceland",287.55,357.56,226.46,"Iceland"
"190","Republic of Malta",188.74,237.71,147.03,"Malta"
"191","Grenada",435.52,542.27,345.57,"Grenada"
"192","Kingdom of Morocco",1225.18,1429.43,1063.4,"Morocco"
"193","Republic of Ecuador",297.79,361.22,243.23,"Ecuador"
"194","Arab Republic of Egypt",1215.08,1383.14,1047.93,"Egypt"
"195","Swiss Confederation",223.73,272.72,183.19,"Switzerland"
"196","Eastern Republic of Uruguay",301.27,376.06,234.21,"Uruguay"
"197","People's Democratic Republic of Algeria",1009.63,1203.11,870.88,"Algeria"
"198","Belize",418.1,530.72,328.22,"Belize"
"199","Saint Lucia",431.13,540.36,343.34,"Saint Lucia"
"200","Republic of Burundi",349.26,438.68,270.37,"Burundi"
"201","Republic of Turkey",843.16,1003.86,703.94,"Turkey"
"202","Republic of Angola",383.8,460.01,313.35,"Angola"
"203","Sultanate of Oman",1207.7,1474.59,980.02,"Oman"
"204","Canada",274.93,333.95,228.94,"Canada"
"205","Antigua and Barbuda",423.94,530.28,336.68,"Barbuda"
"206","Saint Kitts and Nevis",426.41,536.13,334.35,"Nevis"
"207","Saint Vincent and the Grenadines",409.78,513.01,327.49,"Grenadines"
"208","French Republic",273.54,330.88,228.1,"French Guiana"
"209","Republic of Trinidad and Tobago",469.08,583.02,371.17,"Tobago"
