"","location_name","val","upper","lower","location"
"155","Republic of Uzbekistan",1073.09,1171.64,989.6,"Uzbekistan"
"156","Romania",310.84,361.89,270.39,"Romania"
"157","Republic of Albania",265.92,323.92,215.83,"Albania"
"158","Brunei Darussalam",80.6,104.43,62.36,"Brunei"
"159","Republic of Korea",71.9,87.63,59.13,"South Korea"
"160","Czech Republic",305.88,366.35,256.58,"Czech Republic"
"161","Ukraine",610.29,757.92,486.73,"Ukraine"
"162","North Macedonia",327.98,397.53,271.31,"North Macedonia"
"163","French Republic",93.98,114.98,77.62,"France"
"164","Bosnia and Herzegovina",273.43,335.01,221.95,"Bosnia and Herzegovina"
"165","Republic of Croatia",189.25,218.85,164.51,"Croatia"
"166","Republic of Lithuania",317.22,372.78,273.62,"Lithuania"
"167","Republic of Finland",136.48,164.43,114.01,"Finland"
"168","Kingdom of Belgium",93.13,114.19,75.95,"Belgium"
"169","Republic of Cyprus",69.88,86.89,55.83,"Cyprus"
"170","Russian Federation",610.64,747.86,492.48,"Russia"
"171","Hungary",311.4,369.63,268.19,"Hungary"
"172","Federal Republic of Germany",126.72,148.22,110.02,"Germany"
"173","Republic of Serbia",438.13,512.6,376.64,"Serbia"
"174","Republic of Estonia",456.35,573.08,367.32,"Estonia"
"175","New Zealand",174.94,208.26,145.06,"New Zealand"
"176","Japan",61.66,79.12,48.34,"Japan"
"177","Republic of Singapore",100.55,128.49,78.85,"Singapore"
"178","Antigua and Barbuda",342.4,436.44,268.63,"Antigua"
"179","Republic of Poland",146.04,171.58,124.78,"Poland"
"180","Hellenic Republic",70.55,79.19,62.35,"Greece"
"181","Kingdom of Denmark",75.34,92.99,60.99,"Denmark"
"182","Barbados",351.04,447.51,279.07,"Barbados"
"183","Republic of Haiti",377.33,448.68,315,"Haiti"
"184","Principality of Andorra",80.21,102.89,63.29,"Andorra"
"185","Kingdom of the Netherlands",98,120.98,79.68,"Netherlands"
"186","Republic of Trinidad and Tobago",375.69,465.09,295.75,"Trinidad"
"187","Republic of El Salvador",246.91,304.92,197.19,"El Salvador"
"188","United States of America",121.68,143.32,102.99,"USA"
"189","Republic of Iceland",93.88,117.93,74.5,"Iceland"
"190","Republic of Malta",59.41,75.3,46.42,"Malta"
"191","Grenada",349.81,439.06,277.02,"Grenada"
"192","Kingdom of Morocco",770.69,890.1,671.04,"Morocco"
"193","Republic of Ecuador",206.75,250.85,168.66,"Ecuador"
"194","Arab Republic of Egypt",918.83,1044.78,812.43,"Egypt"
"195","Swiss Confederation",81.91,99.53,67.44,"Switzerland"
"196","Eastern Republic of Uruguay",125.67,159.23,100.17,"Uruguay"
"197","People's Democratic Republic of Algeria",714.2,833.1,616.05,"Algeria"
"198","Belize",338.66,426.23,263.71,"Belize"
"199","Saint Lucia",348.25,435.77,269.8,"Saint Lucia"
"200","Republic of Burundi",283.68,358.19,221.7,"Burundi"
"201","Republic of Turkey",507.31,600.63,432.16,"Turkey"
"202","Republic of Angola",316.78,386.38,257.16,"Angola"
"203","Sultanate of Oman",807.32,990.95,635.83,"Oman"
"204","Canada",140.2,169.17,116.24,"Canada"
"205","Antigua and Barbuda",342.4,436.44,268.63,"Barbuda"
"206","Saint Kitts and Nevis",345.61,437.35,269.34,"Nevis"
"207","Saint Vincent and the Grenadines",331.35,416.83,257.59,"Grenadines"
"208","French Republic",93.98,114.98,77.62,"French Guiana"
"209","Republic of Trinidad and Tobago",375.69,465.09,295.75,"Tobago"
