"","location_name","val","upper","lower","location"
"96","Eastern Republic of Uruguay",6234.67,8203.16,4640.16,"Uruguay"
"97","Commonwealth of the Bahamas",5356.61,6989.62,3954.16,"Bahamas"
"98","Republic of Guatemala",6866.15,9021.33,5204.13,"Guatemala"
"99","Republic of Costa Rica",5523.08,7294.9,4184.21,"Costa Rica"
"100","United States of America",8866.23,10247.05,7819.08,"USA"
"101","Republic of Chile",7860.99,10637.19,5968.26,"Chile"
"102","Republic of Colombia",2676.03,3568.46,1946.6,"Colombia"
"103","Republic of Cuba",6640.11,8875.18,5150.29,"Cuba"
"104","Kingdom of Sweden",8432.83,10478.12,6748.55,"Sweden"
"105","Republic of Nicaragua",5611.94,7368.06,4182.55,"Nicaragua"
"106","Belize",5296.05,7089.74,3987.19,"Belize"
"107","Bolivarian Republic of Venezuela",4926.5,6411.03,3645.53,"Venezuela"
"108","Federative Republic of Brazil",7221.67,8418.57,6202.86,"Brazil"
"109","Republic of El Salvador",5916.31,7750.42,4464.69,"El Salvador"
"110","Republic of Panama",5100.45,6740.48,3789.84,"Panama"
"111","Barbados",5476.71,7413.3,3988.03,"Barbados"
"112","Antigua and Barbuda",5206.1,7024.56,3817.8,"Antigua"
"113","United Kingdom of Great Britain and Northern Ireland",7358.23,8666.83,6309.02,"UK"
"114","Republic of Tunisia",10069.38,13197.08,7405.6,"Tunisia"
"115","Kingdom of Saudi Arabia",6788.64,9002.15,5035.44,"Saudi Arabia"
"116","Kingdom of Morocco",8934.03,11505.82,6641.66,"Morocco"
"117","Republic of Djibouti",6751.97,8814.47,5228.17,"Djibouti"
"118","Republic of Iraq",6264.12,8179.27,4754.48,"Iraq"
"119","Federal Democratic Republic of Nepal",8710.12,11293.61,6411.28,"Nepal"
"120","Islamic Republic of Pakistan",6332.66,7706.84,5110.67,"Pakistan"
"121","Republic of Equatorial Guinea",9156.99,11906.37,7158.11,"Equatorial Guinea"
"122","Republic of Paraguay",6615.34,8980.5,4993.66,"Paraguay"
"123","Syrian Arab Republic",6791.99,9083.9,5053,"Syria"
"124","Kingdom of Bhutan",5601.28,7447.06,4173.82,"Bhutan"
"125","Palestine",9837.27,12912.98,7371.47,"Palestine"
"126","State of Qatar",6798.32,9020.86,5081.32,"Qatar"
"127","Arab Republic of Egypt",6958.57,8924.59,5216.74,"Egypt"
"128","Hashemite Kingdom of Jordan",7269.24,9590.76,5540.69,"Jordan"
"129","Islamic Republic of Afghanistan",8372.43,11034.49,6302.09,"Afghanistan"
"130","Sultanate of Oman",7035.75,9462.94,5152.89,"Oman"
"131","People's Republic of Bangladesh",8138.31,10606.24,6263.56,"Bangladesh"
"132","Republic of India",5727.24,6672.84,4998.5,"India"
"133","Gabonese Republic",8734.04,11409.23,6652.17,"Gabon"
"134","Republic of Turkey",7362.29,9791.12,5453.33,"Turkey"
"135","United Arab Emirates",6276.67,8360.44,4647.16,"United Arab Emirates"
"136","Central African Republic",8966.48,11539.95,6818.89,"Central African Republic"
"137","Lebanese Republic",9452.2,12774.98,6952.91,"Lebanon"
"138","State of Kuwait",6069.15,8153.15,4477.14,"Kuwait"
"139","State of Libya",7113.22,9488.67,5414.98,"Libya"
"140","Republic of Yemen",7505.06,10134.81,5632.9,"Yemen"
"141","Kingdom of Bahrain",8090.93,10850.57,5927.71,"Bahrain"
"142","Federal Democratic Republic of Ethiopia",6459.72,7687.06,5373.5,"Ethiopia"
"143","People's Democratic Republic of Algeria",6729.93,8850.92,5077.6,"Algeria"
"144","Islamic Republic of Iran",8657.51,10336.74,7218.18,"Iran"
"145","Republic of the Congo",9172.1,12031.83,6754.48,"Republic of Congo"
"146","Republic of Madagascar",7176.3,9345.95,5447.6,"Madagascar"
"147","Republic of Côte d'Ivoire",5445.01,7110.36,4121.59,"Ivory Coast"
"148","Federal Republic of Nigeria",4889.41,5673.29,4180.85,"Nigeria"
"149","Republic of Malawi",6135.85,7982.03,4671.52,"Malawi"
"150","Republic of Angola",9391.38,12232.61,7094.74,"Angola"
"151","Democratic Republic of the Congo",8306.78,10732.12,6320.08,"Democratic Republic of the Congo"
"152","Republic of Cameroon",6932.86,9070.85,5336.25,"Cameroon"
"153","Republic of Kenya",6934.57,7947.99,6113.14,"Kenya"
"154","Islamic Republic of Mauritania",4804.11,6216.83,3694.34,"Mauritania"
"155","State of Eritrea",7123.32,9391.23,5386.5,"Eritrea"
"156","Republic of Mauritius",6099.89,7802.56,4537.56,"Mauritius"
"157","Principality of Monaco",7832.66,10456.69,5779.94,"Monaco"
"158","United Republic of Tanzania",7101.9,9359.08,5392.02,"Tanzania"
"159","Bermuda",5448.96,7273.87,3941.52,"Bermuda"
"160","Republic of Rwanda",8550.85,11033.13,6460.84,"Rwanda"
"161","Republic of Sierra Leone",6595.54,8710.53,4923.38,"Sierra Leone"
"162","Republic of Namibia",5898.6,7743.39,4456.78,"Namibia"
"163","Union of the Comoros",6380.28,8610.2,4792.31,"Comoros"
"164","Republic of Senegal",5894.6,7743.67,4527.37,"Senegal"
"165","Republic of Benin",6595.32,8562.19,5081.3,"Benin"
"166","Togolese Republic",6521.06,8349.1,4956.08,"Togo"
"167","Republic of Nauru",3568.57,4798.55,2594.9,"Nauru"
"168","Kingdom of Eswatini",8126.84,10619.86,6090.05,"Swaziland"
"169","Republic of Zambia",6067.29,7774.1,4604.69,"Zambia"
"170","Kingdom of Lesotho",11054.73,14314.41,8487.06,"Lesotho"
"171","Republic of Guinea-Bissau",7024.18,9307.48,5362.49,"Guinea-Bissau"
"172","Republic of South Africa",7394.17,8730.95,6255.26,"South Africa"
"173","Republic of Ghana",6407.27,8483.14,4843.74,"Ghana"
"174","Tuvalu",3524.26,4655.52,2654.24,"Tuvalu"
"175","Republic of Mali",4997.61,6656.43,3752.75,"Mali"
"176","Democratic Republic of Sao Tome and Principe",5479.1,7208.77,4183.61,"Sao Tome and Principe"
"177","United States Virgin Islands",5363.45,7094.33,3985.14,"Virgin Islands"
"178","Puerto Rico",4001.68,5399.3,3053.79,"Puerto Rico"
"179","Republic of Chad",7942.83,10152.94,5905.63,"Chad"
"180","Republic of Burundi",7349.55,9676.66,5329.28,"Burundi"
"181","American Samoa",2711.39,3528.2,2099.45,"American Samoa"
"182","Republic of Seychelles",2959.49,3946.28,2224.36,"Seychelles"
"183","Republic of Liberia",8357.27,10866.84,6440.55,"Liberia"
"184","Republic of the Niger",6044.62,7694.93,4647.34,"Niger"
"185","Burkina Faso",5960.67,7799.33,4599.29,"Burkina Faso"
"186","Republic of Guinea",6915.31,8987.23,5328.29,"Guinea"
"187","Republic of Sudan",6621.94,8820.3,4932.22,"Sudan"
"188","Republic of Cabo Verde",7678.17,10038.84,5725.79,"Cape Verde"
"189","Republic of San Marino",7966.24,10784.14,5668.58,"San Marino"
"190","Republic of the Gambia",11280.03,14453.27,8570.2,"Gambia"
"191","Greenland",12752.92,16172.62,9799.98,"Greenland"
"192","Tokelau",3557.25,4796.9,2614.2,"Tokelau"
"193","Northern Mariana Islands",2955.6,3974.28,2285.6,"Northern Mariana Islands"
"194","Guam",3537.06,4523.49,2719.98,"Guam"
"195","Saint Kitts and Nevis",6783.93,9206.67,4898.59,"Saint Kitts"
"196","Republic of Mozambique",7634.69,9845.71,5692.23,"Mozambique"
"197","Federal Republic of Somalia",8219.52,10791.8,6219.93,"Somalia"
"198","Republic of Botswana",7045.17,9493.28,5393.43,"Botswana"
"199","Cook Islands",3573.99,4789.89,2658.5,"Cook Islands"
"200","Republic of Niue",3559.38,4671.23,2680.68,"Niue"
"201","Republic of South Sudan",7065.71,9226.35,5275.13,"South Sudan"
"202","Republic of Uganda",10737.53,14168.93,8192.72,"Uganda"
"203","Republic of Zimbabwe",4565.89,5807.25,3490.02,"Zimbabwe"
"204","Republic of Palau",3571.16,4707.12,2645.18,"Palau"
"205","Antigua and Barbuda",5206.1,7024.56,3817.8,"Barbuda"
"206","Saint Kitts and Nevis",6783.93,9206.67,4898.59,"Nevis"
"207","Saint Vincent and the Grenadines",5432.25,7143.68,4063.08,"Grenadines"
"208","French Republic",7340.57,9597.95,5592.03,"French Guiana"
"209","Republic of Trinidad and Tobago",7000.4,9339.47,5185.68,"Tobago"
