id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd
bbj-a-15,Calcium,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,71701,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-151,Rheumatoid arthritis,4199,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,208254,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-153,Type 2 diabetes,40250,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,210865,HG19/GRCh37,170615,Binary,NA,NA,NA,1,8885694,,,,0,
bbj-a-155,Urolithiasis,6638,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,205815,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-157,Uterine fibroids,5954,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,100964,HG19/GRCh37,95010,Binary,NA,NA,NA,1,8877739,,,,0,
bbj-a-158,hepatocellular carcinoma,1866,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,197611,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885115,,,,0,
bbj-a-159,Coronary artery disease,29319,public,2020,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,183134,Disease,Cardiovascular,EFO:0001645,NA,1,8881048,,,,0,
bbj-a-16,Chloride,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,126402,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-160,Breast cancer,5552,public,2020,Ishigaki K,Biobank Japan,Females,,East Asian,NA,95283,HG19/GRCh37,89731,Disease,Cancer,MONDO:0007254,NA,1,8872152,,,,0,
bbj-a-17,Diastolic blood pressure,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,136615,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-18,E/A ratio,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,8600,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-19,Ejection fraction,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19516,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-2,Body mass index,,public,2019,Ishigaki K,NA,Males,28892062,East Asian,NA,85894,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-20,Eosinophil count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,62076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-21,Fractional shortening,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19580,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-22,Fibrinogen,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,18348,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-23,Gamma glutamyl transferase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,118309,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-24,High-density-lipoprotein cholesterol,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,70657,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-25,Hemoglobin,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108769,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-26,Hemoglobin A1c,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,42790,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-27,Hematocrit,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108757,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-28,Interventricular septum thickness,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19318,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-29,Potassium,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,132938,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-3,Body mass index,,public,2019,Ishigaki K,NA,Females,28892062,East Asian,NA,72390,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-30,Lactate dehydrogenase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,126319,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-31,Low-density-lipoprotein cholesterol,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,72866,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-32,Left ventricular internal dimension in diastole,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19676,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-33,Left ventricular internal dimension in systole,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19586,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-34,Left ventricular mass,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-35,Left ventricular mass index,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,17837,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-36,Lymphocyte count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,62076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-37,Mean arterial pressure,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,136482,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-38,Mean corpuscular hemoglobin,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108054,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-39,Mean corpuscular hemoglobin concentration,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108728,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-4,Albumin/globulin ratio,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,98626,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-40,Mean corpuscular volume,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108256,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-41,Monocyte count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,62076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-42,Non-albumin protein,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,98538,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-43,Sodium,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,127304,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-44,Neutrophil count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,62076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-45,Phosphorus,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,42793,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-46,Pulse pressure,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,136249,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-47,Prothrombin time,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,58110,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-48,Posterior wall thickness,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19373,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-49,Platelet count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108208,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-5,Alkaline phosphatase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,105030,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-50,Red blood cell count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108794,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-51,Relative wall thickness,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19311,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-52,Systolic blood pressure,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,136597,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-53,Total bilirubin,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,110207,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-54,Total cholesterol,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,128305,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-55,Triglyceride,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,105597,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-56,Total protein,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,113509,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
