id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd
finn-b-O15_PREECLAMPS,Pre-eclampsia,3556,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,114735,Binary,NA,NA,O15_PREECLAMPS,1,16379671,,,,0,
finn-b-O15_PREECLAMPS_CHRONIC_HYPERT,Pre-eclampsia superimposed on chronic hypertension,83,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,114735,Binary,NA,NA,O15_PREECLAMPS_CHRONIC_HYPERT,1,16379587,,,,0,
finn-b-O15_PREG_ABORT,Pregnancy with abortive outcome,34239,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,89340,Binary,NA,NA,O15_PREG_ABORT,1,16379784,,,,0,
finn-b-O15_PREG_BIRTH_PUERP,"Pregnancy, childbirth and the puerperium",80417,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,43162,Binary,NA,NA,O15_PREG_BIRTH_PUERP,1,16379784,,,,0,
finn-b-O15_PREG_DM,Diabetes mellitus in pregnancy,6033,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,110330,Binary,NA,NA,O15_PREG_DM,1,16379684,,,,0,
finn-b-O15_PREG_ECTOP,Ectopic pregnancy,3111,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,89340,Binary,NA,NA,O15_PREG_ECTOP,1,16378923,,,,0,
finn-b-O15_PREG_GU_INFECT,Infections of genitourinary tract in pregnancy,1401,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,110330,Binary,NA,NA,O15_PREG_GU_INFECT,1,16379553,,,,0,
finn-b-O15_PREG_HYDAT,Hydatidiform mole,206,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,89340,Binary,NA,NA,O15_PREG_HYDAT,1,16378810,,,,0,
finn-b-O15_PREG_MATERN_CARE,Maternal care for other conditions predominantly related to pregnancy,3163,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,110330,Binary,NA,NA,O15_PREG_MATERN_CARE,1,16379634,,,,0,
finn-b-O15_PREG_OTHER_MAT_DISORD,Other maternal disorders predominantly related to pregnancy,13249,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,110330,Binary,NA,NA,O15_PREG_OTHER_MAT_DISORD,1,16379784,,,,0,
finn-b-O15_PREG_PROLONGED,Prolonged pregnancy,1879,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,104247,Binary,NA,NA,O15_PREG_PROLONGED,1,16379383,,,,0,
finn-b-O15_PREG_VENOUS_HAEMORRH,Venous complications and haemorrhoids in pregnancy,223,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,110330,Binary,NA,NA,O15_PREG_VENOUS_HAEMORRH,1,16379537,,,,0,
finn-b-O15_PRETERM,Preterm labour and delivery,5480,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,98626,Binary,NA,NA,O15_PRETERM,1,16379340,,,,0,
finn-b-O15_PUERP_COMPL_NAS,"Complications of the puerperium, not elsewhere classified",530,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,119155,Binary,NA,NA,O15_PUERP_COMPL_NAS,1,16379727,,,,0,
finn-b-O15_PUERP_INFECT_OTHER,Other puerperal infections,951,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,119155,Binary,NA,NA,O15_PUERP_INFECT_OTHER,1,16379733,,,,0,
finn-b-O15_PUERP_SEPSIS,Puerperal sepsis,2286,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,119155,Binary,NA,NA,O15_PUERP_SEPSIS,1,16379757,,,,0,
finn-b-O15_RETAINED_PLAC_MEMB_NO_HEAMORRH,"Retained placenta and membranes, without haemorrhage",2029,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,98626,Binary,NA,NA,O15_RETAINED_PLAC_MEMB_NO_HEAMORRH,1,16379224,,,,0,
finn-b-O15_VENOUS_COMPLIC,Venous complications and haemorrhoids in the puerperium,155,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,119155,Binary,NA,NA,O15_VENOUS_COMPLIC,1,16379719,,,,0,
finn-b-OFFICIAL_TILASTOKESKUS,"Alcohol related diseases, tilastokeskus definition",12484,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,206308,Binary,NA,NA,OFFICIAL_TILASTOKESKUS,1,16380466,,,,0,
finn-b-OPER_ARTIF_JOINT_MENISC_RESECT,"Articial joint operation, menisceal resection",19723,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,199069,Binary,NA,NA,OPER_ARTIF_JOINT_MENISC_RESECT,1,16380466,,,,0,
finn-b-OPER_ARTIF_JOINT_REOP,Artificial joint re-operation,807,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217985,Binary,NA,NA,OPER_ARTIF_JOINT_REOP,1,16380466,,,,0,
finn-b-OPER_COLECTOMY,Colectomy operation,2068,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216724,Binary,NA,NA,OPER_COLECTOMY,1,16380466,,,,0,
finn-b-OPER_TOTAL_COLECTOMY,Total colectomy operation,556,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218236,Binary,NA,NA,OPER_TOTAL_COLECTOMY,1,16380466,,,,0,
finn-b-OSTEON_DRUGS,Osteonecrosis due to drugs,101,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218691,Binary,NA,NA,OSTEON_DRUGS,1,16380466,,,,0,
finn-b-OSTEOPOROSIS_FRACTURE_FG,Osteoporosis with pathological fracture (FG),785,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,172834,Binary,NA,NA,OSTEOPOROSIS_FRACTURE_FG,1,16380281,,,,0,
finn-b-OSTPOPATFRACTURE,Drug-induced osteoporosis with pathological fracture,156,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218007,Binary,NA,NA,OSTPOPATFRACTURE,1,16380463,,,,0,
finn-b-OSTPOPATFRCTURE_POSTEMENO,Postmenopausal osteoporosis with pathological fracture,621,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,122861,Binary,NA,NA,OSTPOPATFRCTURE_POSTEMENO,1,16379783,,,,0,
finn-b-OTHER_DRUGADVERS_SECONDA_PARKINSONI,Other drug-induced secondary parkinsonism,148,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218644,Binary,NA,NA,OTHER_DRUGADVERS_SECONDA_PARKINSONI,1,16380466,,,,0,
finn-b-OTHER_SYSTCON_FG,Other systemic involvement of connective tissue (FG),4146,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,172834,Binary,NA,NA,OTHER_SYSTCON_FG,1,16380315,,,,0,
finn-b-P16_DIGES_SYSTEM_DISORD_FETUS_NEWBO,Digestive system disorders of fetus and newborn,143,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218649,Binary,NA,NA,P16_DIGES_SYSTEM_DISORD_FETUS_NEWBO,1,16380466,,,,0,
finn-b-P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED,"Disorders related to short gestation and low birth weight, not elsewhere classified",258,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218490,Binary,NA,NA,P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED,1,16380466,,,,0,
finn-b-P16_DISORD_RELATED_LENGTH_GESTATION_FETAL_GROWTH,Disorders related to length of gestation and fetal growth,302,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218490,Binary,NA,NA,P16_DISORD_RELATED_LENGTH_GESTATION_FETAL_GROWTH,1,16380466,,,,0,
finn-b-P16_FET_NEWB_MATERN_FACTO_COMPLICATIO_PREGNAC_LABOUR_DELIV,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",113,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218679,Binary,NA,NA,P16_FET_NEWB_MATERN_FACTO_COMPLICATIO_PREGNAC_LABOUR_DELIV,1,16380466,,,,0,
finn-b-P16_HAEMORRHAGIC_HAEMATOL_DISORD_FETUS_NEWBO,Haemorrhagic and haematological disorders of fetus and newborn,184,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218608,Binary,NA,NA,P16_HAEMORRHAGIC_HAEMATOL_DISORD_FETUS_NEWBO,1,16380466,,,,0,
finn-b-P16_INFECTIONS_SPECIFIC_PERINA_PERIOD,Infections specific to the perinatal period,109,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218683,Binary,NA,NA,P16_INFECTIONS_SPECIFIC_PERINA_PERIOD,1,16380466,,,,0,
finn-b-P16_MECONIUMI_CAUSED_CYSTIC_FIBROSIS,Meconiumileus caused by cystic fibrosis,143,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218649,Binary,NA,NA,P16_MECONIUMI_CAUSED_CYSTIC_FIBROSIS,1,16380466,,,,0,
finn-b-P16_NEONTAL_JAUND_OTH_UNSP_CAUSES,Neonatal jaundice from other and unspecified causes,133,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218608,Binary,NA,NA,P16_NEONTAL_JAUND_OTH_UNSP_CAUSES,1,16380466,,,,0,
finn-b-P16_OTH_DISORD_ORIGINA_PERINA_PERIOD,Other disorders originating in the perinatal period,122,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218670,Binary,NA,NA,P16_OTH_DISORD_ORIGINA_PERINA_PERIOD,1,16380466,,,,0,
finn-b-P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD,Respiratory and cardiovascular disorders specific to the perinatal period,265,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218527,Binary,NA,NA,P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD,1,16380466,,,,0,
finn-b-P16_RESPI_DISTR_NEWBO,Respiratory distress of newborn,171,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218527,Binary,NA,NA,P16_RESPI_DISTR_NEWBO,1,16380461,,,,0,
finn-b-P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,133,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218655,Binary,NA,NA,P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO,1,16380466,,,,0,
finn-b-P16_TRANSITO_ENDOCR_METABOLIC_DISORD_SPECIFIC_FETUS_NEWBO,Transitory endocrine and metabolic disorders specific to fetus and newborn,137,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218655,Binary,NA,NA,P16_TRANSITO_ENDOCR_METABOLIC_DISORD_SPECIFIC_FETUS_NEWBO,1,16380466,,,,0,
finn-b-PAIN,"Pain (limb, back, neck, head abdominally)",87242,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,131127,Binary,NA,NA,PAIN,1,16380464,,,,0,
finn-b-PD_DEMENTIA,Dementia due to Parkinsons disease,267,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216628,Binary,NA,NA,PD_DEMENTIA,1,16380459,,,,0,
finn-b-PD_DEMENTIA_EXMORE,Dementia due to Parkinsons disease (more controls excluded),267,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,111621,Binary,NA,NA,PD_DEMENTIA_EXMORE,1,16379396,,,,0,
finn-b-PD2ND,Secondary parkinsonism,417,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216346,Binary,NA,NA,PD2ND,1,16380459,,,,0,
finn-b-PD2ND_EXMORE,Secondary parkinsonism (more controls excluded),417,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,111621,Binary,NA,NA,PD2ND_EXMORE,1,16379412,,,,0,
finn-b-PDSTRICT,"Parkinson's disease, strict definition",1843,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216630,Binary,NA,NA,PDSTRICT,1,16380461,,,,0,
finn-b-PDSTRICT_EXMORE,"""Parkinson's disease, strict definition"" (more controls excluded)",1843,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,111621,Binary,NA,NA,PDSTRICT_EXMORE,1,16379428,,,,0,
finn-b-PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,"Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced",144,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218648,Binary,NA,NA,PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,1,16380466,,,,0,
finn-b-PNEUMO_SEPTHICHE,Pneumococcal septichemia,447,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218322,Binary,NA,NA,PNEUMO_SEPTHICHE,1,16380466,,,,0,
finn-b-PNEUMOBACTKNOWN,Bacterial pneumonia (organism specified),8269,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,206999,Binary,NA,NA,PNEUMOBACTKNOWN,1,16380460,,,,0,
finn-b-POLLENALLERG,Pollen allergy,2972,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,214464,Binary,NA,NA,POLLENALLERG,1,16380461,,,,0,
finn-b-POLYCYTVERA,Polycythaemia vera,394,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217902,Binary,NA,NA,POLYCYTVERA,1,16380466,,,,0,
finn-b-PRIM_COXARTHROSIS,"Primary coxarthrosis, bilateral",4163,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,208083,Binary,NA,NA,PRIM_COXARTHROSIS,1,16380456,,,,0,
finn-b-PRIM_KNEEARTHROSIS,"Primary gonarthrosis, bilateral",8410,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,195996,Binary,NA,NA,PRIM_KNEEARTHROSIS,1,16380415,,,,0,
finn-b-PSOR_ARTHR_OTH,Other psoriatic arthropathies,1433,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217013,Binary,NA,NA,PSOR_ARTHR_OTH,1,16380466,,,,0,
finn-b-PSOR_ENTE_ARTHR,Psoriatic and enteropathic arthropathies,1779,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,172834,Binary,NA,NA,PSOR_ENTE_ARTHR,1,16380290,,,,0,
finn-b-PSORI_STRICT,"Psoriasis (vulgaris), strict definition",334,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,212242,Binary,NA,NA,PSORI_STRICT,1,16380456,,,,0,
finn-b-PULM_INFECTIONS,COPD/asthma/ILD related infections,58925,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,159867,Binary,NA,NA,PULM_INFECTIONS,1,16380466,,,,0,
finn-b-PULM_PNEUMONIA_SEPSIS,COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia,27715,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,159867,Binary,NA,NA,PULM_PNEUMONIA_SEPSIS,1,16380352,,,,0,
finn-b-Q17_ANKYLOGLOSSIA,Ankyloglossia,194,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218598,Binary,NA,NA,Q17_ANKYLOGLOSSIA,1,16380466,,,,0,
finn-b-Q17_CHEFT_HARD_PALATE_NOS,Cheft hard palate NOS,148,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218644,Binary,NA,NA,Q17_CHEFT_HARD_PALATE_NOS,1,16380466,,,,0,
finn-b-Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED,"Chromosomal abnormalities, not elsewhere classified",213,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218579,Binary,NA,NA,Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED,1,16380466,,,,0,
finn-b-Q17_CL_AND_CLP,CL and CLP,87,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218705,Binary,NA,NA,Q17_CL_AND_CLP,1,16380466,,,,0,
finn-b-Q17_CLEFT_AND_CARIES,Clefts and caries,4144,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,214648,Binary,NA,NA,Q17_CLEFT_AND_CARIES,1,16380466,,,,0,
finn-b-Q17_CLEFT_HARD_PALATE_W_CLEFT_LIP_UNILA,"Cleft hard palate with cleft lip, unilateral",110,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218682,Binary,NA,NA,Q17_CLEFT_HARD_PALATE_W_CLEFT_LIP_UNILA,1,16380466,,,,0,
finn-b-Q17_CLEFT_LIP_CLEFT_PALATE,Cleft lip and cleft palate,181,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218611,Binary,NA,NA,Q17_CLEFT_LIP_CLEFT_PALATE,1,16380466,,,,0,
finn-b-Q17_CLEFT_PALATE,Cleft palate,115,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218611,Binary,NA,NA,Q17_CLEFT_PALATE,1,16380466,,,,0,
finn-b-Q17_CONGEN_DEFORMITI_FEET,Congenital deformities of feet,345,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_CONGEN_DEFORMITI_FEET,1,16380461,,,,0,
finn-b-Q17_CONGEN_DEFORMITI_HIP,Congenital deformities of hip,211,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_CONGEN_DEFORMITI_HIP,1,16380460,,,,0,
finn-b-Q17_CONGEN_MALFO_ANTER_SEGMENT_EYE,Congenital malformations of anterior segment of eye,113,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217785,Binary,NA,NA,Q17_CONGEN_MALFO_ANTER_SEGMENT_EYE,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_AORTIC_MITRAL_VALVES,Congenital malformations of aortic and mitral valves,477,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_CONGEN_MALFO_AORTIC_MITRAL_VALVES,1,16380459,,,,0,
finn-b-Q17_CONGEN_MALFO_BREAST,Congenital malformations of breast,196,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217483,Binary,NA,NA,Q17_CONGEN_MALFO_BREAST,1,16380460,,,,0,
finn-b-Q17_CONGEN_MALFO_CARDIAC_CHAMB_CONNECTIO,Congenital malformations of cardiac chambers and connections,97,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_CONGEN_MALFO_CARDIAC_CHAMB_CONNECTIO,1,16380459,,,,0,
finn-b-Q17_CONGEN_MALFO_CARDIAC_SEPTA,Congenital malformations of cardiac septa,891,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_CONGEN_MALFO_CARDIAC_SEPTA,1,16380464,,,,0,
finn-b-Q17_CONGEN_MALFO_CIRCULATO_SYSTEM,Congenital malformations of the circulatory system,2062,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_CONGEN_MALFO_CIRCULATO_SYSTEM,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM,Congenital malformations and deformations of the musculoskeletal system,1319,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_EYE_EAR_FACE_NECK,"Congenital malformations of eye, ear, face and neck",1007,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217785,Binary,NA,NA,Q17_CONGEN_MALFO_EYE_EAR_FACE_NECK,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_EYELID_LACRIMAL_APPARA_ORBIT,"Congenital malformations of eyelid, lacrimal apparatus and orbit",116,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217785,Binary,NA,NA,Q17_CONGEN_MALFO_EYELID_LACRIMAL_APPARA_ORBIT,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_GALLB_BILE_DUCTS_LIVER,"Congenital malformations of gallbladder, bile ducts and liver",108,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218235,Binary,NA,NA,Q17_CONGEN_MALFO_GALLB_BILE_DUCTS_LIVER,1,16380464,,,,0,
finn-b-Q17_CONGEN_MALFO_GENITAL_ORGANS,Congenital malformations of genital organs,1422,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217370,Binary,NA,NA,Q17_CONGEN_MALFO_GENITAL_ORGANS,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_GREAT_ARTERIES,Congenital malformations of great arteries,307,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_CONGEN_MALFO_GREAT_ARTERIES,1,16380460,,,,0,
finn-b-Q17_CONGEN_MALFO_MUSCULOS_SYSTEM_NOT_ELSEW_CLASSIFIED,"Congenital malformations of the musculoskeletal system, not elsewhere classified",173,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_CONGEN_MALFO_MUSCULOS_SYSTEM_NOT_ELSEW_CLASSIFIED,1,16380460,,,,0,
finn-b-Q17_CONGEN_MALFO_NERVOUS_SYSTEM,Congenital malformations of the nervous system,258,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218534,Binary,NA,NA,Q17_CONGEN_MALFO_NERVOUS_SYSTEM,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_OVARIES_FALLOP_TUBES_BROAD_LIGAM,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",799,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217370,Binary,NA,NA,Q17_CONGEN_MALFO_OVARIES_FALLOP_TUBES_BROAD_LIGAM,1,16380460,,,,0,
finn-b-Q17_CONGEN_MALFO_PULMONARY_TRICU_VALVES,Congenital malformations of pulmonary and tricuspid valves,106,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_CONGEN_MALFO_PULMONARY_TRICU_VALVES,1,16380459,,,,0,
finn-b-Q17_CONGEN_MALFO_RESPI_SYSTEM,Congenital malformations of the respiratory system,205,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218587,Binary,NA,NA,Q17_CONGEN_MALFO_RESPI_SYSTEM,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_SPINE_BONY_THORAX,Congenital malformations of spine and bony thorax,89,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_CONGEN_MALFO_SPINE_BONY_THORAX,1,16380460,,,,0,
finn-b-Q17_CONGEN_MALFO_TRACHEA_BRONCHUS,Congenital malformations of trachea and bronchus,105,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218587,Binary,NA,NA,Q17_CONGEN_MALFO_TRACHEA_BRONCHUS,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_URINARY_SYSTEM,Congenital malformations of the urinary system,813,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217979,Binary,NA,NA,Q17_CONGEN_MALFO_URINARY_SYSTEM,1,16380466,,,,0,
finn-b-Q17_CONGEN_MALFO_UTERUS_CERVIX,Congenital malformations of uterus and cervix,251,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217370,Binary,NA,NA,Q17_CONGEN_MALFO_UTERUS_CERVIX,1,16380459,,,,0,
finn-b-Q17_CONGEN_MUSCULOS_DEFORMITI_HEAD_FACE_SPINE_CHEST,"Congenital musculoskeletal deformities of head, face, spine and chest",183,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_CONGEN_MUSCULOS_DEFORMITI_HEAD_FACE_SPINE_CHEST,1,16380460,,,,0,
finn-b-Q17_CONGEN_OBSTRUCTIVE_DEFECTS_RENAL_PELVIS_CONGEN_MALFO_URETER,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,256,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217979,Binary,NA,NA,Q17_CONGEN_OBSTRUCTIVE_DEFECTS_RENAL_PELVIS_CONGEN_MALFO_URETER,1,16380466,,,,0,
finn-b-Q17_CRANIOSYNOSTOSIS,Craniosynostosis,405,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218387,Binary,NA,NA,Q17_CRANIOSYNOSTOSIS,1,16380466,,,,0,
finn-b-Q17_CYSTIC_KIDNEY_DISEA,Cystic kidney disease,469,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217979,Binary,NA,NA,Q17_CYSTIC_KIDNEY_DISEA,1,16380465,,,,0,
finn-b-Q17_EHLER_SYNDR,Ehlers-Danlos syndrome,111,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218681,Binary,NA,NA,Q17_EHLER_SYNDR,1,16380466,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO,Other congenital malformations,1309,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217483,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO,1,16380466,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_CIRCULATO_SYSTEM,Other congenital malformations of circulatory system,308,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_CIRCULATO_SYSTEM,1,16380459,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1,Other congenital malformations of the digestive system,557,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218235,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1,1,16380466,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_EAR,Other congenital malformations of ear,185,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217785,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_EAR,1,16380466,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_FACE_NECK,Other congenital malformations of face and neck,419,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217785,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_FACE_NECK,1,16380466,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_FEMALE_GENITALIA,Other congenital malformations of female genitalia,127,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217370,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_FEMALE_GENITALIA,1,16380458,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_HEART,Other congenital malformations of heart,90,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,216730,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_HEART,1,16380459,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_INTESTINE,Other congenital malformations of intestine,107,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,218235,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_INTESTINE,1,16380465,,,,0,
finn-b-Q17_OTHER_CONGEN_MALFO_LIMBS,Other congenital malformations of limb(s),92,public,2021,NA,NA,Males and Females,,European,NA,,HG19/GRCh37,217473,Binary,NA,NA,Q17_OTHER_CONGEN_MALFO_LIMBS,1,16380461,,,,0,
