id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,outcome_code,method_status,ci_critical,ci_lower,ci_upper,OR,OR_lower,OR_upper,OR_overflow,q_sensitivity_58
ieu-a-1239,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Years of schooling || id:ieu-a-1239,Weighted median,508,-0.297622386707451,0.0719459972015932,3.52264166855265e-05,DD,ESTIMATED,1.95996398454005,-0.438633950054393,-0.156610823360509,0.742581695530444,0.644916808190604,0.855036754405531,FALSE,7.56715617689088e-05
ieu-a-1239,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Years of schooling || id:ieu-a-1239,Weighted mode,508,-0.26565694500856,0.358869932928227,0.459485092849283,DD,ESTIMATED,1.96465402052421,-0.970712201581254,0.439398311564133,0.766702103374357,0.378813150682767,1.55177325353981,FALSE,0.689641122660445
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,Inverse variance weighted,294,0.73922896990881,0.0879667348689542,4.33343264915718e-17,IHD,ESTIMATED,1.95996398454005,0.566817337728076,0.911640602089543,2.09432010798704,1.76264820079735,2.4884016633238,FALSE,2.14272387956355e-16
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,MR Egger,294,0.278903848902609,0.372257671975637,0.454326203715031,IHD,ESTIMATED,1.96812140700962,-0.453744444236205,1.01155214204142,1.32168025675277,0.635245053038892,2.74986588676845,FALSE,0.585575995899373
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,Weighted median,294,0.554709552213294,0.11720709038534,2.21519702623171e-06,IHD,ESTIMATED,1.95996398454005,0.324987876325296,0.784431228101291,1.74143511533836,1.38401386654513,2.19116031583101,FALSE,7.1378570845244e-06
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,Weighted mode,294,0.296376971189095,0.43846651995368,0.499612031966139,IHD,ESTIMATED,1.96809345268382,-0.566566115952802,1.15932005833099,1.34497707888728,0.567470725514957,3.18776504477935,FALSE,0.704542095426442
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,Inverse variance weighted,294,0.925664289670123,0.0893031910756462,3.56223302775179e-25,DD,ESTIMATED,1.95996398454005,0.750633251457358,1.10069532788289,2.52354406794212,2.11834103451438,3.00625563074446,FALSE,4.13219031219208e-24
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,MR Egger,294,1.17619939332835,0.379065649781628,0.00210408212933849,DD,ESTIMATED,1.96812140700962,0.430152173331122,1.92224661332559,3.24202908091864,1.53749147094626,6.83629975199357,FALSE,0.0122036763501632
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,Weighted median,294,0.819253044683467,0.1181506518394,4.09192216188616e-12,DD,ESTIMATED,1.95996398454005,0.587682022328313,1.05082406703862,2.26880450885378,1.79981165322187,2.86000698472015,FALSE,3.39044979127711e-11
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,Weighted mode,294,0.704045706789105,0.444078718748619,0.113952431883443,DD,ESTIMATED,1.96809345268382,-0.169942712056272,1.57803412563448,2.0219162630118,0.843713149803364,4.84542095329955,FALSE,0.568837167416555
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,Inverse variance weighted,181,0.910374596162403,0.164653877741573,3.22024489055315e-08,IHD,ESTIMATED,1.95996398454005,0.587658925874058,1.23309026645075,2.48525332539667,1.7997700844344,3.43181839992425,FALSE,6.67050727328867e-08
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,MR Egger,181,0.763413456192625,0.680436403667921,0.263387806855562,IHD,ESTIMATED,1.97330543384147,-0.579295396548832,2.10612230893408,2.14558760414796,0.560293011904694,8.21631908530109,FALSE,0.391704943528784
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,Weighted median,181,0.974171408172874,0.224030392828551,1.37140884873817e-05,IHD,ESTIMATED,1.95996398454005,0.535079906786554,1.41326290955919,2.64897138534646,1.70758468440771,4.10934196380326,FALSE,3.74151027737298e-05
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,Weighted mode,181,1.94819727242721,0.818982342201938,0.0184157580085764,IHD,ESTIMATED,1.97323082307154,0.332156071243022,3.5642384736114,7.01602818583564,1.39397039022761,35.3125517224241,FALSE,0.552445080620226
ukb-b-14180,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Mood swings || id:ukb-b-14180,Inverse variance weighted,181,1.24453544876633,0.16419923565833,3.47095362669686e-14,DD,ESTIMATED,1.95996398454005,0.922710860586998,1.56636003694566,3.47132181787661,2.51610195478567,4.78918397577122,FALSE,1.4379665024887e-13
