id.exposure,outcome,n_valid,n_missing,min_b,max_b,sign_change,max_abs_shift,any_ci_crosses_zero
ukb-b-6591,IHD,385,0,-0.366881720830513,-0.34471875134489,FALSE,0.0126388920156548,FALSE
ukb-b-6591,DD,385,0,-0.474785830844252,-0.450151769717597,FALSE,0.0164303382689696,FALSE
ieu-a-1239,IHD,508,0,-0.385480840444514,-0.368966939054102,FALSE,0.0087579108703964,FALSE
ieu-a-1239,DD,508,0,-0.333265968229227,-0.306972047115642,FALSE,0.0158813459537905,FALSE
ukb-b-6306,IHD,294,0,0.721935986096319,0.757435000466512,FALSE,0.018206030557702,FALSE
ukb-b-6306,DD,294,0,0.910468688986657,0.937522045052072,FALSE,0.0151956006834661,FALSE
ukb-b-14180,IHD,181,0,0.873479353028497,0.950806036324589,FALSE,0.0404314401621864,FALSE
ukb-b-14180,DD,181,0,1.2059970196904,1.27603111702443,FALSE,0.0385384290759299,FALSE
ukb-b-12405,IHD,150,0,-0.355979600668026,-0.331071000191392,FALSE,0.0129329489773712,FALSE
ukb-b-12405,DD,150,0,-0.382185758566864,-0.350296116366585,FALSE,0.0201653234404557,FALSE
ukb-b-3656,IHD,156,0,1.08879198674389,1.17522066838782,FALSE,0.0585572962927026,FALSE
ukb-b-3656,DD,156,0,0.471043744381866,0.522843718710971,FALSE,0.0266342804919475,FALSE
ukb-b-929,IHD,160,0,0.567708831377088,0.619036535771232,FALSE,0.0259544593151403,FALSE
ukb-b-929,DD,160,0,0.930190555191092,0.972388151189737,FALSE,0.023021858937495,FALSE
ukb-b-11615,IHD,242,0,-0.888617862100238,-0.833813410685102,FALSE,0.0277457401221206,FALSE
ukb-b-11615,DD,242,0,-0.756178846869996,-0.680737153593242,FALSE,0.0508653445035334,FALSE
ukb-b-14057,IHD,366,0,1.51074375492714,1.57879775667913,FALSE,0.0441343627089084,FALSE
ukb-b-14057,DD,366,0,0.3867089153533,0.426077904767193,FALSE,0.0236418079394085,FALSE
ukb-b-12493,IHD,167,0,3.35281369603741,3.54446144417258,FALSE,0.128435618814196,FALSE
ukb-b-12493,DD,167,0,0.918019184972461,1.02205414846885,FALSE,0.0525919419183291,FALSE
ukb-b-14177,IHD,377,0,1.58788312526473,1.65343058248505,FALSE,0.041224799187775,FALSE
ukb-b-14177,DD,377,0,0.394515944530086,0.427152945634094,FALSE,0.0173417648927721,FALSE
ukb-b-6134,IHD,157,0,-0.464655965021485,-0.411114963743745,FALSE,0.0323542590105504,FALSE
ukb-b-6134,DD,157,0,-0.438464855419827,-0.383830996148161,FALSE,0.0324822244526697,FALSE
ukb-b-4063,IHD,166,0,0.956196487888317,1.02397132428208,FALSE,0.0413304377671848,FALSE
ukb-b-4063,DD,166,0,0.581554519665,0.626711778468834,FALSE,0.0235309634392517,FALSE
ukb-b-17729,IHD,266,0,0.657551083026719,0.738644005936112,FALSE,0.0423439590749487,FALSE
ukb-b-17729,DD,266,0,0.739812486222884,0.819375325485995,FALSE,0.0403978391104898,FALSE
ukb-b-7408,IHD,177,0,-0.172673338517296,-0.136910225033705,FALSE,0.0208007650967036,FALSE
ukb-b-7408,DD,177,0,-0.319466212178915,-0.28354379806048,FALSE,0.0228483470930675,FALSE
ieu-b-102,IHD,164,0,0.201393374613067,0.219334220431677,FALSE,0.00991223530661503,FALSE
ieu-b-102,DD,164,0,0.482850874904054,0.503953736265575,FALSE,0.0112990139961858,FALSE
ukb-b-18994,IHD,145,0,0.922948919873396,1.01974206227027,FALSE,0.0494188179944625,FALSE
ukb-b-18994,DD,145,0,1.71278317894892,1.79593105209187,FALSE,0.0424945203000782,FALSE
ieu-b-4877,IHD,216,0,0.184646059556732,0.201000864282663,FALSE,0.00962083576536363,FALSE
ieu-b-4877,DD,216,0,0.234856842793315,0.256175295674771,FALSE,0.0111925244945768,FALSE
ukb-b-17360,IHD,73,0,-2.71883360385659,-2.40768020288709,FALSE,0.213559302844584,FALSE
ukb-b-17360,DD,73,0,-1.02807371467317,-0.85521098757062,FALSE,0.106034734276411,FALSE
ukb-b-4630,IHD,264,0,0.0645498735924182,0.0727221736208213,FALSE,0.00430686961465188,FALSE
