id.exposure,trait,outcome,old_nsnp,new_nsnp,old_b,new_b,old_se,new_se,old_p,new_p,delta_b,same_direction
ukb-b-6591,Age first had sexual intercourse,IHD,183,385,-0.371079377646314,-0.354242828814859,0.0612399854190754,0.0483295542682069,1.36605136733847e-09,2.30608151060017e-13,0.0168365488314554,TRUE
ukb-b-6591,Age first had sexual intercourse,DD,386,385,-0.463629157011026,-0.466582107986567,0.0555167725492581,0.0555399807866822,6.75988023940141e-17,4.43322181978665e-17,-0.00295295097554049,TRUE
ieu-a-1239,Years of schooling,IHD,293,508,-0.453709709462512,-0.377724849924498,0.0602926177280216,0.0504777987894139,5.26684097600089e-14,7.2650561066978e-14,0.0759848595380136,TRUE
ieu-a-1239,Years of schooling,DD,509,508,-0.326163185699945,-0.322853393069432,0.0558296766358387,0.0557663316320651,5.15433437430487e-09,7.06398594572754e-09,0.00330979263051262,TRUE
ukb-b-6306,Overall health rating,IHD,100,294,0.76021255039132,0.73922896990881,0.14827452600887,0.0879667348689542,2.94300070389785e-07,4.33343264915718e-17,-0.0209835804825104,TRUE
ukb-b-6306,Overall health rating,DD,294,294,0.925664289670123,0.925664289670123,0.0893031910756462,0.0893031910756462,3.56223302775179e-25,3.56223302775179e-25,3.33066907387547e-16,TRUE
ukb-b-14180,Mood swings,IHD,54,181,1.19157099697057,0.910374596162403,0.261051749344299,0.164653877741573,5.0068357675172e-06,3.22024489055315e-08,-0.281196400808167,TRUE
ukb-b-14180,Mood swings,DD,181,181,1.24453544876633,1.24453544876633,0.16419923565833,0.16419923565833,3.47095362669686e-14,3.47095362669686e-14,4.44089209850063e-16,TRUE
ukb-b-12405,Age at first live birth,IHD,32,150,-0.410552318947397,-0.343046651690654,0.0968894130238485,0.0536018665785423,2.26194577402982e-05,1.55477497488757e-10,0.0675056672567426,TRUE
ukb-b-12405,Age at first live birth,DD,151,150,-0.36783688166956,-0.370461439807041,0.0600683076525115,0.0603702603348572,9.14595997997471e-10,8.43651911130092e-10,-0.00262455813748103,TRUE
ukb-b-3656,Number of treatments/medications taken,IHD,38,156,1.77503227086154,1.14734928303659,0.410501997372852,0.175753596710257,1.53188675417341e-05,6.65782949100498e-11,-0.627682987824946,TRUE
ukb-b-3656,Number of treatments/medications taken,DD,156,156,0.496209438219024,0.496209438219024,0.109061562476887,0.109061562476887,5.36942579051918e-06,5.36942579051918e-06,-2.22044604925031e-16,TRUE
ukb-b-929,Frequency of tiredness / lethargy in last 2 weeks,IHD,38,160,0.837847835626448,0.593663290692229,0.200389619954551,0.110383089062923,2.90109904125842e-05,7.52305779701032e-08,-0.244184544934219,TRUE
ukb-b-929,Frequency of tiredness / lethargy in last 2 weeks,DD,161,160,0.941793256452313,0.953212414128587,0.102176627858794,0.10201778260335,3.04657822194592e-20,9.31212184165857e-21,0.0114191576762737,TRUE
ukb-b-11615,Qualifications: A levels/AS levels or equivalent,IHD,81,242,-1.01407480597603,-0.861559150807222,0.249400768124608,0.16385696695892,4.78176573524694e-05,1.45634295679525e-07,0.152515655168808,TRUE
ukb-b-11615,Qualifications: A levels/AS levels or equivalent,DD,243,242,-0.729090157683982,-0.731602498096775,0.159946825007838,0.160449011852408,5.15623645205868e-06,5.1221977519748e-06,-0.00251234041279336,TRUE
ukb-b-14057,"Non-cancer illness code, self-reported: hypertension",IHD,202,366,1.62152183533004,1.55487811763605,0.156268867763805,0.122717453004774,3.17235390249455e-25,8.62831929868745e-37,-0.0666437176939936,TRUE
ukb-b-14057,"Non-cancer illness code, self-reported: hypertension",DD,368,366,0.421389618841007,0.410350723292708,0.0961763212863736,0.0962361117282632,1.17904052556814e-05,2.00799976808938e-05,-0.0110388955482988,TRUE
ukb-b-12493,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,IHD,61,167,4.18173696873732,3.4812493148516,0.561977336959501,0.367158516105094,9.98403589071926e-14,2.50419215425799e-21,-0.700487653885719,TRUE
ukb-b-12493,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,DD,167,167,0.97061112689079,0.97061112689079,0.229269758555325,0.229269758555326,2.30092879296759e-05,2.30092879296759e-05,-1.11022302462516e-16,TRUE
ukb-b-14177,Vascular/heart problems diagnosed by doctor: High blood pressure,IHD,213,377,1.68428494084517,1.62910792445251,0.152881595543353,0.126347383887414,3.16696564819678e-28,4.87295230508418e-38,-0.055177016392663,TRUE
ukb-b-14177,Vascular/heart problems diagnosed by doctor: High blood pressure,DD,378,377,0.417662473104548,0.411857709422858,0.0986438542367775,0.0987770850538211,2.29525447534031e-05,3.0517841463177e-05,-0.00580476368168997,TRUE
ukb-b-6134,Age completed full time education,IHD,37,157,-0.642697976851639,-0.432301706010935,0.153144344396671,0.0920779540993534,2.7085488325246e-05,2.66667475192867e-06,0.210396270840704,TRUE
ukb-b-6134,Age completed full time education,DD,157,157,-0.416313220600831,-0.416313220600831,0.0996208386871031,0.0996208386871031,2.92822945558795e-05,2.92822945558795e-05,1.66533453693773e-16,TRUE
ukb-b-4063,Number of self-reported non-cancer illnesses,IHD,34,166,1.15647320560509,0.997526925655502,0.303810792705293,0.140272348219202,0.000140914628216553,1.14906410315412e-12,-0.158946279949588,TRUE
ukb-b-4063,Number of self-reported non-cancer illnesses,DD,166,166,0.603180815029583,0.603180815029583,0.103918214737324,0.103918214737324,6.46045805676809e-09,6.46045805676809e-09,-4.44089209850063e-16,TRUE
ukb-b-17729,Qualifications: None of the above,IHD,86,266,0.951437223226775,0.696300046861164,0.250493227222649,0.179127703309844,0.000145718202388253,0.000101419232790754,-0.255137176365612,TRUE
ukb-b-17729,Qualifications: None of the above,DD,266,266,0.780210325333374,0.780210325333374,0.182614460118155,0.182614460118155,1.93340831509644e-05,1.93340831509644e-05,0,TRUE
ukb-b-7408,Average total household income before tax,IHD,43,177,-0.419278838053126,-0.151872573420592,0.110666177454608,0.0624401127437148,0.00015144926441981,0.0150036150405154,0.267406264632534,TRUE
ukb-b-7408,Average total household income before tax,DD,178,177,-0.305813365193817,-0.306392145153548,0.0683036978167551,0.0686038408774545,7.56074020971929e-06,7.96555041801876e-06,-0.000578779959730769,TRUE
ieu-b-102,Major depression,IHD,43,164,0.27845937222382,0.211305609919682,0.0735686734372125,0.0425585071206018,0.000153692253346616,6.867926349933e-07,-0.067153762304138,TRUE
ieu-b-102,Major depression,DD,164,164,0.49414988890024,0.49414988890024,0.0463424713503797,0.0463424713503797,1.51621941074633e-26,1.51621941074633e-26,1.11022302462516e-16,TRUE
ukb-b-18994,Miserableness,IHD,43,145,1.15876833873796,0.970323244275807,0.310560318607139,0.196660677218703,0.000190556021759453,8.05635665247613e-07,-0.188445094462153,TRUE
ukb-b-18994,Miserableness,DD,145,145,1.7534365317918,1.7534365317918,0.195522236095152,0.195522236095152,3.02043526237e-19,3.02043526237e-19,-3.99680288865056e-15,TRUE
ieu-b-4877,smoking initiation,IHD,83,216,0.202631984122031,0.191380028517299,0.0549132574802295,0.0382679780603856,0.000224220919931307,5.70192550688792e-07,-0.0112519556047321,TRUE
ieu-b-4877,smoking initiation,DD,216,216,0.246049367287891,0.246049367287891,0.0437686210157804,0.0437686210157804,1.89204752916056e-08,1.89204752916056e-08,3.33066907387547e-16,TRUE
