set_rank,id.exposure,trait,population,source_group,consortium,exposure_category,exposure_sample_size,exposure_ncase,exposure_ncontrol,direction,IHD.id.outcome,IHD.method,IHD.nsnp,IHD.b,IHD.se,IHD.p,IHD.q_BH_m11988,IHD.OR,IHD.CI95_lower,IHD.CI95_upper,DD.id.outcome,DD.method,DD.nsnp,DD.b,DD.se,DD.p,DD.q_BH_m11988,DD.OR,DD.CI95_lower,DD.CI95_upper,old50_overlap,old50_rank,downstream_marker,downstream_exclusion_reason,trait_group,short_label,plot_x,plot_y,effect_direction,joint_support,label_for_plot
11,ukb-b-14177,Vascular/heart problems diagnosed by doctor: High blood pressure,European,public,MRC-IEU,Binary,461880,124227,337653,Positive,finn-b-I9_IHD,Inverse variance weighted,213,1.68428494084517,0.152881595543353,3.16696564819678e-28,7.03066373899685e-26,5.38859638922077,3.99337610040929,7.27128382496884,finn-b-F5_DEPRESSIO,Inverse variance weighted,378,0.417662473104548,0.0986438542367775,2.29525447534031e-05,0.00262927650967522,1.5184080843339,1.25147207548037,1.84228090721527,TRUE,1,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Clinical or healthcare marker,Doctor-diagnosed high BP,25.1530036729067,2.58016373861352,Concordant positive,2.58016373861352,""
12,ukb-b-6134,Age completed full time education,European,public,MRC-IEU,Categorical Ordered,307897,,,Negative,finn-b-I9_IHD,Inverse variance weighted,37,-0.642697976851639,0.153144344396671,2.7085488325246e-05,0.000824113791987434,0.525871718665832,0.389511888423392,0.709968226160945,finn-b-F5_DEPRESSIO,Inverse variance weighted,157,-0.416313220600831,0.0996208386871031,2.92822945558795e-05,0.00325033469570262,0.659473677390007,0.542498442560669,0.801671483364052,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,Age completed education,3.08401281764728,2.48807191624801,Concordant negative,2.48807191624801,""
13,ukb-b-4063,Number of self-reported non-cancer illnesses,European,public,MRC-IEU,Categorical Ordered,462933,,,Positive,finn-b-I9_IHD,Inverse variance weighted,34,1.15647320560509,0.303810792705293,0.000140914628216553,0.00377072447111616,3.17870285265569,1.75243114909065,5.76579104447246,finn-b-F5_DEPRESSIO,Inverse variance weighted,166,0.603180815029583,0.103918214737324,6.46045805676809e-09,1.51858767028502e-06,1.82792385075778,1.49108063301771,2.24086178183864,TRUE,19,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Clinical or healthcare marker,Number of illnesses,2.42357520056855,5.81856013056697,Concordant positive,2.42357520056855,""
14,ukb-b-17729,Qualifications: None of the above,European,public,MRC-IEU,Binary,458079,79538,378541,Positive,finn-b-I9_IHD,Inverse variance weighted,86,0.951437223226775,0.250493227222649,0.000145718202388253,0.00388193291162306,2.5894285731104,1.58481946379029,4.23085435813894,finn-b-F5_DEPRESSIO,Inverse variance weighted,266,0.780210325333374,0.182614460118155,1.93340831509644e-05,0.00231776988813761,2.18193113263369,1.52544471432998,3.12094133784929,TRUE,28,FALSE,"",Sociodemographic or life-course phenotype,No listed qualification,2.41095197445092,2.63492968367562,Concordant positive,2.41095197445092,""
15,ukb-b-7408,Average total household income before tax,European,public,MRC-IEU,Categorical Ordered,397751,,,Negative,finn-b-I9_IHD,Inverse variance weighted,43,-0.419278838053126,0.110666177454608,0.00015144926441981,0.00400788914318914,0.657520827876567,0.529308127069055,0.816790101987387,finn-b-F5_DEPRESSIO,Inverse variance weighted,178,-0.305813365193817,0.0683036978167551,7.56074020971929e-06,0.00104181785786339,0.736524067656008,0.644236996933901,0.842031278579627,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,Household income,2.39708429940804,2.98220820257134,Concordant negative,2.39708429940804,""
16,ieu-b-102,Major depression,European,public,PGC,Disease,,170756,329443,Positive,finn-b-I9_IHD,Inverse variance weighted,43,0.27845937222382,0.0735686734372125,0.000153692253346616,0.00405828795841241,1.32109293123774,1.14369559845826,1.52600616398195,finn-b-F5_DEPRESSIO,Inverse variance weighted,164,0.49414988890024,0.0463424713503797,1.51621941074633e-26,2.01960425511411e-23,1.63910422591186,1.49678375842471,1.7949571194103,FALSE,,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Psychological or symptom phenotype,Major depression,2.39165714056719,22.6947337229584,Concordant positive,2.39165714056719,""
17,ukb-b-18994,Miserableness,European,public,MRC-IEU,Binary,454982,195435,259547,Positive,finn-b-I9_IHD,Inverse variance weighted,43,1.15876833873796,0.310560318607139,0.000190556021759453,0.00493387816166808,3.18600677742604,1.73337454789439,5.85599875003074,finn-b-F5_DEPRESSIO,Inverse variance weighted,145,1.7534365317918,0.195522236095152,3.02043526237e-19,2.12993987795833e-16,5.77441257022081,3.93618881387909,8.47109783289688,TRUE,12,FALSE,"",Psychological or symptom phenotype,Miserableness,2.30681157928255,15.6716326552652,Concordant positive,2.30681157928255,""
18,ieu-b-4877,smoking initiation,European,public,GSCAN,Risk factor,607291,311629,321173,Positive,finn-b-I9_IHD,Inverse variance weighted,83,0.202631984122031,0.0549132574802295,0.000224220919931307,0.00569483133079769,1.22462170507661,1.09966105385305,1.36378233573883,finn-b-F5_DEPRESSIO,Inverse variance weighted,216,0.246049367287891,0.0437686210157804,1.89204752916056e-08,4.2412295387119e-06,1.27896271090362,1.17381939245701,1.39352410293548,TRUE,21,FALSE,"",Potentially modifiable or intermediate phenotype,Smoking initiation,2.24451913430457,5.37250822254186,Concordant positive,2.24451913430457,Smoking initiation
19,ukb-b-17360,Illnesses of siblings: None of the above (group 1),European,public,MRC-IEU,Binary,364971,245626,119345,Negative,finn-b-I9_IHD,Inverse variance weighted,11,-5.74532722823861,1.45792443401551,8.12245720922288e-05,0.00230193893674146,0.00319768800660884,0.000183580165087018,0.0556988745639444,finn-b-F5_DEPRESSIO,Inverse variance weighted,73,-0.961245721847032,0.243150015861983,7.70796821555736e-05,0.00739224983744813,0.382416204909632,0.237444883257069,0.615899369030232,FALSE,,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Clinical or healthcare marker,Sibling illness history: none,2.63790620103115,2.13122336359646,Concordant negative,2.13122336359646,""
20,ukb-b-4630,Neuroticism score,European,public,MRC-IEU,Categorical Ordered,374323,,,Positive,finn-b-I9_IHD,Inverse variance weighted,108,0.096828449919336,0.0274828284938128,0.00042631396023292,0.0102596904787366,1.10167136559767,1.04389833669214,1.16264175841461,finn-b-F5_DEPRESSIO,Inverse variance weighted,265,0.177753871979534,0.0191044492821127,1.34854949542131e-20,1.15474366793648e-17,1.19453127743138,1.15062946257124,1.24010814878078,TRUE,13,FALSE,"",Psychological or symptom phenotype,Neuroticism,1.98886574111547,16.9375144105387,Concordant positive,1.98886574111547,""
21,ukb-b-13352,Vascular/heart problems diagnosed by doctor: None of the above,European,public,MRC-IEU,Binary,461880,325118,136762,Negative,finn-b-I9_IHD,Inverse variance weighted,204,-1.95600236881649,0.204917497379099,1.3569263113975e-21,2.392181267799e-19,0.141422647971393,0.0946432552586411,0.211323726181897,finn-b-F5_DEPRESSIO,Inverse variance weighted,367,-0.378123299991119,0.100040814273405,0.000157023515365651,0.0142605901682078,0.685146016959751,0.563153356677652,0.833565242912171,FALSE,,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Clinical or healthcare marker,No reported vascular/heart problem,18.6212059147245,1.84586250102746,Concordant negative,1.84586250102746,""
22,ukb-b-5076,Leisure/social activities: None of the above,European,public,MRC-IEU,Binary,461369,140035,321334,Positive,finn-b-I9_IHD,Inverse variance weighted,10,2.37035840464,0.65713447864885,0.000309622690342375,0.00770074027349459,10.7012269662845,2.95168096434312,38.796963481932,finn-b-F5_DEPRESSIO,Inverse variance weighted,78,1.25780110092033,0.333511824528162,0.000162344735814165,0.0146329976912798,3.51767795804122,1.82963761900951,6.76311969535683,TRUE,41,FALSE,"",Potentially modifiable or intermediate phenotype,No listed leisure/social activity,2.11346752401706,1.83466669592379,Concordant positive,1.83466669592379,No listed leisure/social activity
23,ukb-b-20292,Taking other prescription medications,European,public,MRC-IEU,Binary,461332,216598,244734,Positive,finn-b-I9_IHD,Inverse variance weighted,24,1.749260217626,0.502395459540441,0.00049798258531008,0.0118214163023708,5.75034709667202,2.14806001656013,15.3936535652093,finn-b-F5_DEPRESSIO,Inverse variance weighted,85,0.895607421141811,0.239630753445601,0.000185897702699981,0.0161488526084592,2.44882280453842,1.5310153525054,3.91683409197312,FALSE,,TRUE,Medication or treatment marker,Clinical or healthcare marker,Other prescription medication,1.92733048830617,1.7918583292782,Concordant positive,1.7918583292782,""
24,ukb-b-16489,Qualifications: College or University degree,European,public,MRC-IEU,Binary,458079,148722,309357,Negative,finn-b-I9_IHD,Inverse variance weighted,238,-0.793934897145857,0.121340430105172,6.02819966898774e-11,4.35337696577259e-09,0.452062471622582,0.356378418221883,0.573436739713801,finn-b-F5_DEPRESSIO,Inverse variance weighted,472,-0.37962858493602,0.101870475150819,0.000194094657368241,0.0166200482323605,0.684115452816302,0.560293393081801,0.83530157335574,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,University degree,8.36117372497066,1.77936772020187,Concordant negative,1.77936772020187,""
25,ukb-b-18009,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",European,public,MRC-IEU,Binary,249710,43244,206466,Positive,finn-b-I9_IHD,Inverse variance weighted,89,1.63540451680953,0.217990238649434,6.27595892779053e-14,6.37594878189431e-12,5.13153336874381,3.34726518269613,7.86691023186905,finn-b-F5_DEPRESSIO,Inverse variance weighted,195,0.452656132563079,0.121789684707972,0.000201839175505331,0.0170683712563695,1.57248336770926,1.23855868224865,1.99643664620959,TRUE,22,TRUE,Medication or treatment marker,Clinical or healthcare marker,Blood-pressure medication code,11.1954551802929,1.76780791931407,Concordant positive,1.76780791931407,""
26,ukb-b-19809,Fed-up feelings,European,public,MRC-IEU,Binary,453071,184258,268813,Positive,finn-b-I9_IHD,Inverse variance weighted,53,0.82910613476299,0.247906540890757,0.000824517592054929,0.0185099567295028,2.29126973826713,1.40946375241813,3.72476199156722,finn-b-F5_DEPRESSIO,Inverse variance weighted,180,1.18886818533813,0.167659934718507,1.33194630501275e-12,4.98980384515402e-10,3.28336294526656,2.36376269880664,4.56072525207039,TRUE,17,FALSE,"",Psychological or symptom phenotype,Fed-up feelings,1.73259459649076,9.30191652664948,Concordant positive,1.73259459649076,""
27,ukb-b-20531,Leg fat percentage (right),European,public,MRC-IEU,Continuous,454854,,,Positive,finn-b-I9_IHD,Inverse variance weighted,352,0.395371072926318,0.0800877416503377,7.94457947805783e-07,3.31845361613092e-05,1.48493510791529,1.26921563481868,1.73731887177264,finn-b-F5_DEPRESSIO,Inverse variance weighted,563,0.229510390054415,0.0626565106023931,0.00024928488258774,0.0197909084268995,1.25798393767696,1.11260446221883,1.42235955471297,TRUE,18,FALSE,"",Potentially modifiable or intermediate phenotype,Right-leg fat percentage,4.47906424835467,1.70353427068825,Concordant positive,1.70353427068825,""
28,ukb-b-7212,Leg fat mass (left),European,public,MRC-IEU,Continuous,454823,,,Positive,finn-b-I9_IHD,Inverse variance weighted,385,0.24450089586003,0.0584275690217206,2.85563437038695e-05,0.000864478404853504,1.27698380622257,1.13880886463103,1.43192390927079,finn-b-F5_DEPRESSIO,Inverse variance weighted,611,0.15558605535828,0.0450143201214752,0.000547507302426997,0.036463986341638,1.16834247387146,1.06967834156504,1.27610710922213,TRUE,25,FALSE,"",Potentially modifiable or intermediate phenotype,Left-leg fat mass,3.06324585116982,1.43813585483791,Concordant positive,1.43813585483791,""
29,ukb-b-18096,Leg fat mass (right),European,public,MRC-IEU,Continuous,454846,,,Positive,finn-b-I9_IHD,Inverse variance weighted,385,0.231314808937086,0.0569763898534865,4.91071575046377e-05,0.00142541550645423,1.2602559168328,1.12709224846218,1.40915260315125,finn-b-F5_DEPRESSIO,Inverse variance weighted,602,0.157342315862042,0.0455714772084914,0.000555110776095118,0.0365037097182114,1.17039619051602,1.07038909283111,1.27974701157625,TRUE,23,FALSE,"",Potentially modifiable or intermediate phenotype,Right-leg fat mass,2.84605852101902,1.43766299778241,Concordant positive,1.43766299778241,""
