"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"ukb-b-3656","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Number of treatments/medications taken || id:ukb-b-3656","Inverse variance weighted","38",1.77503227086154,0.410501997372852,1.53188675417341e-05
"ukb-b-3768","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Age when periods started (menarche) || id:ukb-b-3768","Inverse variance weighted","183",-0.234372700616238,0.0557543945490814,2.62629551979984e-05
"finn-b-G6_SLEEPAPNO","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Sleep apnoea || id:finn-b-G6_SLEEPAPNO","Inverse variance weighted","5",0.227414588200421,0.0619734761649628,0.000242980591588798
"ukb-b-3855","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Attendance/disability/mobility allowance: None of the above || id:ukb-b-3855","Inverse variance weighted","8",-3.64489878576554,1.85930311598623,0.0499540210673109
"finn-b-G6_SLEEPAPNO_INCLAVO","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Sleep apnoea, including avohilmo || id:finn-b-G6_SLEEPAPNO_INCLAVO","Inverse variance weighted","5",0.228672038377845,0.0622446745250879,0.000239006593188333
"ukb-b-3975","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Drinking water intake || id:ukb-b-3975","Inverse variance weighted","2",-0.272495823120764,0.102386348293902,0.00778056259382851
"ukb-b-4063","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Number of self-reported non-cancer illnesses || id:ukb-b-4063","Inverse variance weighted","34",1.15647320560509,0.303810792705293,0.000140914628216553
"ukb-b-4077","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Leisure/social activities: Other group activity || id:ukb-b-4077","Inverse variance weighted","3",-2.97281438877574,1.25595126379398,0.0179337913294504
"ukb-b-4226","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Diagnoses - secondary ICD10: E03.9 Hypothyroidism, unspecified || id:ukb-b-4226","Inverse variance weighted","34",2.55343614735053,1.22899672514291,0.0377407748225279
"ukb-b-4522","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Time spent using computer || id:ukb-b-4522","Inverse variance weighted","75",-0.264624575605183,0.126109544168695,0.0358724092914432
"ukb-b-4630","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Neuroticism score || id:ukb-b-4630","Inverse variance weighted","108",0.096828449919336,0.0274828284938128,0.00042631396023292
"ukb-b-4650","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Comparative body size at age 10 || id:ukb-b-4650","Inverse variance weighted","211",0.19334438876395,0.0766941481771301,0.011702861151211
"finn-b-GAST_OPER","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Any gastric operation || id:finn-b-GAST_OPER","Inverse variance weighted","3",-0.566521459413626,0.175581889839083,0.00125298042445388
"finn-b-GEST_DIABETES","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Gestational diabetes (for exclusion) || id:finn-b-GEST_DIABETES","Inverse variance weighted","6",0.0757716391066901,0.0365749560364964,0.0382952064904985
"ukb-b-5076","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Leisure/social activities: None of the above || id:ukb-b-5076","Inverse variance weighted","10",2.37035840464,0.65713447864885,0.000309622690342375
"ukb-b-5192","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Time spent watching television (TV) || id:ukb-b-5192","Inverse variance weighted","104",0.455577968131144,0.117361033270848,0.000103664666925486
"finn-b-GIANT_CELL_TEMP_ARTERITIS","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Giant cell arteritis with polymyalgia rheumatica || id:finn-b-GIANT_CELL_TEMP_ARTERITIS","Inverse variance weighted","2",0.0416361935001808,0.0128964686538807,0.00124443132910458
"ukb-b-5237","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Coffee intake || id:ukb-b-5237","Inverse variance weighted","37",0.453706064005122,0.162743668555964,0.00530579702017041
"finn-b-GLOMER_NEPHRITIS","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Glomerulonephritis || id:finn-b-GLOMER_NEPHRITIS","Inverse variance weighted","2",0.14919914076858,0.0537286000060743,0.00548794593045411
"ukb-b-5716","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Average weekly champagne plus white wine intake || id:ukb-b-5716","Inverse variance weighted","4",-1.12173923688761,0.477074127033141,0.01870848741775
"ukb-b-6134","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Age completed full time education || id:ukb-b-6134","Inverse variance weighted","37",-0.642697976851639,0.153144344396671,2.7085488325246e-05
"ukb-b-6235","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operation code: cholecystectomy/gall bladder removal || id:ukb-b-6235","Inverse variance weighted","42",-1.97607584585775,0.472448990534406,2.8816547446288e-05
"ukb-b-6306","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Overall health rating || id:ukb-b-6306","Inverse variance weighted","100",0.76021255039132,0.14827452600887,2.94300070389785e-07
"ukb-b-6353","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","Inverse variance weighted","28",-1.22737654497734,0.552766215617005,0.0263898554243602
"ukb-b-6445","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Ever had hysterectomy (womb removed) || id:ukb-b-6445","Inverse variance weighted","3",3.51249044868196,1.2254341682323,0.00415269977415981
"ukb-b-6474","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Treatment/medication code: ezetimibe || id:ukb-b-6474","Inverse variance weighted","7",40.1871375876712,6.8211893025078,3.82671427474425e-09
"ukb-b-6503","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Systolic blood pressure, manual reading || id:ukb-b-6503","Inverse variance weighted","2",0.754318521144535,0.36912392720589,0.0409992768516127
"ukb-b-6519","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Worrier / anxious feelings || id:ukb-b-6519","Inverse variance weighted","59",0.523920780922286,0.254017271822655,0.0391563544891442
"ukb-b-6591","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Age first had sexual intercourse || id:ukb-b-6591","Inverse variance weighted","183",-0.371079377646314,0.0612399854190754,1.36605136733847e-09
"ukb-b-6704","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Arm fat mass (right) || id:ukb-b-6704","Inverse variance weighted","398",0.166201111959072,0.0456664295876325,0.00027321111137312
"ukb-b-6991","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Seen doctor (GP) for nerves, anxiety, tension or depression || id:ukb-b-6991","Inverse variance weighted","40",1.26758348501627,0.399483600082982,0.0015084388030312
"ukb-b-7137","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Medication for pain relief, constipation, heartburn: Aspirin || id:ukb-b-7137","Inverse variance weighted","11",12.1351649148122,2.57662541685448,2.48066468321775e-06
"ukb-b-7178","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Doctor diagnosed hayfever or allergic rhinitis || id:ukb-b-7178","Inverse variance weighted","31",-0.525259340368687,0.248725281545489,0.0347031619948382
"ukb-b-7212","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Leg fat mass (left) || id:ukb-b-7212","Inverse variance weighted","385",0.24450089586003,0.0584275690217206,2.85563437038695e-05
"ukb-b-7278","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operative procedures - main OPCS: T20.2 Primary repair of inguinal hernia using insert of prosthetic material || id:ukb-b-7278","Inverse variance weighted","10",-3.99225293815781,1.78420465742902,0.0252502028073097
"ukb-b-7350","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Medication for cholesterol, blood pressure or diabetes: Insulin || id:ukb-b-7350","Inverse variance weighted","6",4.55155915004938,1.82031902970282,0.0124046715176454
"ukb-b-7352","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Diagnoses - secondary ICD10: Z92.1 Personal history of long-term (current) use of anticoagulants || id:ukb-b-7352","Inverse variance weighted","3",12.0647616102865,4.25562991530969,0.00458239733949629
"ukb-b-7408","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Average total household income before tax || id:ukb-b-7408","Inverse variance weighted","43",-0.419278838053126,0.110666177454608,0.00015144926441981
"ukb-b-7436","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Diagnoses - secondary ICD10: I25.1 Atherosclerotic heart disease || id:ukb-b-7436","Inverse variance weighted","6",53.7320531847655,7.02335219551605,2.00222126338248e-14
"ukb-b-7478","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Hand grip strength (left) || id:ukb-b-7478","Inverse variance weighted","141",-0.343836903082027,0.116473246529833,0.00315653768077139
"ukb-b-7859","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Impedance of arm (right) || id:ukb-b-7859","Inverse variance weighted","443",-0.158302870486202,0.0596503575562637,0.00795801064723068
"ukb-b-7869","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operation code: coronary angioplasty (ptca) +/- stent || id:ukb-b-7869","Inverse variance weighted","10",53.9931991897929,6.36001913450702,2.07579472590306e-17
"ukb-b-7953","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Forced vital capacity (FVC) || id:ukb-b-7953","Inverse variance weighted","300",-0.169921912644656,0.0596342875859661,0.00438018338102681
