table_row,Exposure,matched_id,table_or_ihd,local_or_ihd,table_p_ihd,local_p_ihd,ihd_or_matches_tolerance,ihd_p_matches_tolerance,table_or_dd,local_or_dd,table_p_dd,local_p_dd,dd_or_matches_tolerance,dd_p_matches_tolerance,local_dd_saved_estimate,match_note
24,"Long-standing illness, disability or infirmity",ukb-b-13764,12.27049258,12.2704925819481,0.016081426,0.0160814255936465,TRUE,TRUE,5.343354403,3.35010889331018,0.0000280023,0.0000000191046375617653,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
25,Leg fat mass (left),ukb-b-7212,1.276983806,1.27698380622257,0.0000285563,0.0000285563437038695,TRUE,TRUE,1.142808141,1.16834247387146,0.009709954,0.000547507302426997,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
26,Alcohol dehydrogenase 1B,prot-a-46,1.05712788,1.05712787957226,0.028719911,0.0287199114839045,TRUE,TRUE,1.10590157,1.08338483650102,0.0000599884,0.00000728913388051069,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
27,Arm fat mass (left),ukb-b-8338,1.220377812,1.22037781242447,0.0000119581,0.0000119580918752243,TRUE,TRUE,1.108482167,1.12627167420401,0.014817304,0.00130900809467838,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
28,Qualifications: None of the above,ukb-b-17729,2.589428573,2.5894285731104,0.000145718,0.000145718202388253,TRUE,TRUE,2.088667937,2.18193113263369,0.010033446,0.0000193340831509644,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
29,Treatment/medication code: beclometasone,ukb-b-17681,867039000000,867038695560.442,0.00000245071,0.00000245071107905569,TRUE,TRUE,272173.8096,40.1296897594344,0.029976033,0.258469036476386,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
30,Ever smoked,ukb-b-20261,1.604306473,1.60430647322027,0.04169513,0.0416951301715509,TRUE,TRUE,2.443235917,2.06343318413851,0.00012359,0.00000273375452082955,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
31,Arm fat percentage (left),ukb-b-20188,1.331715777,1.33171577722248,0.000022679,0.000022678966981768,TRUE,TRUE,1.145657773,1.13956563866317,0.018154813,0.00702521881602941,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
32,Tense / 'highly strung',ukb-b-10093,2.160060103,2.16006010340819,0.043729093,0.0437290931742112,TRUE,TRUE,6.253938528,4.59798187836643,0.000186527,0.000000000329691183844837,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
33,Illnesses of siblings: High blood pressure,ukb-b-8746,26.53302865,26.5330286527609,0.000000885456,0.000000885456493321101,TRUE,TRUE,1.970139748,2.00495817442875,0.04611814,0.00629538341040202,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
34,Treatment/medication code: folic acid product,ukb-b-288,631632.6632,631632.663182915,0.000197033,0.000197032797961734,TRUE,TRUE,7021.356659,1334.26088077512,0.01224643,0.0169328315595469,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
35,Arm fat percentage (right),ukb-b-12854,1.334518211,1.3345182106569,0.0000105226,0.000010522616547756,TRUE,TRUE,1.128403369,,0.034514584,,FALSE,FALSE,FALSE,matched by IHD trait and IHD effect
36,Illnesses of father: High blood pressure,ukb-b-19456,5.622239949,5.62223994946884,0.036275599,0.0362755991412441,TRUE,TRUE,4.932097672,1.916688667266,0.001510232,0.03528867680062,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
37,"Non-cancer illness code, self-reported: rheumatoid arthritis",ukb-b-9125,272.6694012,272.669401153108,0.001228173,0.00122817260532709,TRUE,TRUE,56.02857026,32.3429815074607,0.012198224,0.0167377260636108,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
38,Arm fat mass (right),ukb-b-6704,1.180810553,1.18081055296893,0.000273211,0.00027321111137312,TRUE,TRUE,1.108674164,1.12862238741632,0.015218999,0.00119378175484372,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
39,Worrier / anxious feelings,ukb-b-6519,1.688635457,1.68863545703617,0.039156354,0.0391563544891442,TRUE,TRUE,2.328830292,2.25842843801588,0.002425791,0.00000106197680090875,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
40,Number of incorrect matches in round,ukb-b-20498,1.371216997,1.37121699662148,0.048110793,0.048110792898877,TRUE,TRUE,1.646212902,1.25950696454086,0.001493729,0.0178825224535892,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
41,Leisure/social activities: None of the above,ukb-b-5076,10.70122697,10.7012269662845,0.000309623,0.000309622690342375,TRUE,TRUE,7.443670515,3.51767795804122,0.017803699,0.000162344735814165,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
42,Body fat percentage,ukb-b-8909,1.200906416,1.20090641641663,0.006575339,0.00657533945975259,TRUE,TRUE,1.152891539,1.17832842705017,0.008104099,0.000602873738539271,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
43,Treatment/medication code: methotrexate,ukb-b-12209,47546.70975,47546.7097475982,0.000448616,0.000448616111848854,TRUE,TRUE,1141.239148,4.49230254230245,0.018309604,0.716727624795798,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
44,Treatment/medication code: amlodipine,ukb-b-9207,149.663821,149.663821024624,0.000387065,0.000387064512936409,TRUE,TRUE,6.171913888,2.92030323525599,0.028495656,0.0680098357390236,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
45,Townsend deprivation index at recruitment,ukb-b-10011,1.932329938,1.93232993782924,0.015352755,0.0153527547523404,TRUE,TRUE,1.998482676,1.66292989843024,0.009233332,0.0000375442985334437,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
46,Pain type(s) experienced in last month: Back pain,ukb-b-9838,5.592267844,5.59226784428467,0.008360283,0.00836028341083411,TRUE,TRUE,3.376235196,3.5439039136951,0.021008031,0.00000733379090515782,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
47,Operative procedures - main OPCS: X50.1 Direct current cardioversion,ukb-b-10444,329.97844,329.978439997074,0.045310984,0.0453109844264681,TRUE,TRUE,1615.293559,1527.84856515422,0.010070695,0.00287294421703798,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
48,"Cardiac arrhytmias, COPD co-morbidities",ukb-d-CARDIAC_ARRHYTM,10.69208071,10.6920807057349,0.038802276,0.0388022763668937,TRUE,TRUE,8.821531502,5.91019070754085,0.014393853,0.0119813722976978,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
49,"Major dietary changes in the last 5 years: Yes, because of other reasons",ukb-d-1538_2,84.70536652,84.7053665187503,0.0074768,0.00747679964517959,TRUE,TRUE,7.266832893,2.86967791115731,0.030928025,0.0180617158767733,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
50,Treatment/medication code: doxazosin,ukb-b-8668,5452.183738,5452.18373778855,0.023927739,0.0239277389430325,TRUE,TRUE,3507.541145,7.49907783045882,0.047868447,0.397389794765272,FALSE,FALSE,TRUE,matched by IHD trait and IHD effect
