location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status
Federal Republic of Germany,81,Female,10-14 years,30,,,,,not_estimable_constant_series
Federal Republic of Germany,81,Female,5-9 years,30,,,,,not_estimable_constant_series
Federal Republic of Germany,81,Female,<5 years,30,,,,,not_estimable_constant_series
Federal Republic of Nigeria,214,Female,10-14 years,30,,,,,not_estimable_constant_series
Federal Republic of Nigeria,214,Female,5-9 years,30,,,,,not_estimable_constant_series
Federal Republic of Nigeria,214,Female,<5 years,30,,,,,not_estimable_constant_series
Federal Republic of Somalia,187,Female,10-14 years,30,,,,,not_estimable_constant_series
Federal Republic of Somalia,187,Female,5-9 years,30,,,,,not_estimable_constant_series
Federal Republic of Somalia,187,Female,<5 years,30,,,,,not_estimable_constant_series
Federated States of Micronesia,25,Female,10-14 years,30,,,,,not_estimable_constant_series
Federated States of Micronesia,25,Female,5-9 years,30,,,,,not_estimable_constant_series
Federated States of Micronesia,25,Female,<5 years,30,,,,,not_estimable_constant_series
Federative Republic of Brazil,135,Female,10-14 years,30,,,,,not_estimable_constant_series
Federative Republic of Brazil,135,Female,5-9 years,30,,,,,not_estimable_constant_series
Federative Republic of Brazil,135,Female,<5 years,30,,,,,not_estimable_constant_series
French Republic,80,Female,10-14 years,30,,,,,not_estimable_constant_series
French Republic,80,Female,5-9 years,30,,,,,not_estimable_constant_series
French Republic,80,Female,<5 years,30,,,,,not_estimable_constant_series
Gabonese Republic,173,Female,10-14 years,30,,,,,not_estimable_constant_series
Gabonese Republic,173,Female,5-9 years,30,,,,,not_estimable_constant_series
Gabonese Republic,173,Female,<5 years,30,,,,,not_estimable_constant_series
Georgia,35,Female,10-14 years,30,,,,,not_estimable_constant_series
Georgia,35,Female,5-9 years,30,,,,,not_estimable_constant_series
Georgia,35,Female,<5 years,30,,,,,not_estimable_constant_series
Grand Duchy of Luxembourg,87,Female,10-14 years,30,,,,,not_estimable_constant_series
Grand Duchy of Luxembourg,87,Female,5-9 years,30,,,,,not_estimable_constant_series
Grand Duchy of Luxembourg,87,Female,<5 years,30,,,,,not_estimable_constant_series
Greenland,349,Female,10-14 years,30,,,,,not_estimable_constant_series
Greenland,349,Female,5-9 years,30,,,,,not_estimable_constant_series
Greenland,349,Female,<5 years,30,,,,,not_estimable_constant_series
Grenada,112,Female,10-14 years,30,,,,,not_estimable_constant_series
Grenada,112,Female,5-9 years,30,,,,,not_estimable_constant_series
Grenada,112,Female,<5 years,30,,,,,not_estimable_constant_series
Guam,351,Female,10-14 years,30,,,,,not_estimable_constant_series
Guam,351,Female,5-9 years,30,,,,,not_estimable_constant_series
Guam,351,Female,<5 years,30,,,,,not_estimable_constant_series
Hashemite Kingdom of Jordan,144,Female,10-14 years,30,,,,,not_estimable_constant_series
Hashemite Kingdom of Jordan,144,Female,5-9 years,30,,,,,not_estimable_constant_series
Hashemite Kingdom of Jordan,144,Female,<5 years,30,,,,,not_estimable_constant_series
Hellenic Republic,82,Female,10-14 years,30,,,,,not_estimable_constant_series
Hellenic Republic,82,Female,5-9 years,30,,,,,not_estimable_constant_series
Hellenic Republic,82,Female,<5 years,30,,,,,not_estimable_constant_series
Hungary,48,Female,10-14 years,30,,,,,not_estimable_constant_series
Hungary,48,Female,5-9 years,30,,,,,not_estimable_constant_series
Hungary,48,Female,<5 years,30,,,,,not_estimable_constant_series
Independent State of Papua New Guinea,26,Female,10-14 years,30,,,,,not_estimable_constant_series
Independent State of Papua New Guinea,26,Female,5-9 years,30,,,,,not_estimable_constant_series
Independent State of Papua New Guinea,26,Female,<5 years,30,,,,,not_estimable_constant_series
Independent State of Samoa,27,Female,10-14 years,30,,,,,not_estimable_constant_series
Independent State of Samoa,27,Female,5-9 years,30,,,,,not_estimable_constant_series
Independent State of Samoa,27,Female,<5 years,30,,,,,not_estimable_constant_series
Ireland,84,Female,10-14 years,30,,,,,not_estimable_constant_series
Ireland,84,Female,5-9 years,30,,,,,not_estimable_constant_series
Ireland,84,Female,<5 years,30,,,,,not_estimable_constant_series
Islamic Republic of Afghanistan,160,Female,10-14 years,30,,,,,not_estimable_constant_series
Islamic Republic of Afghanistan,160,Female,5-9 years,30,,,,,not_estimable_constant_series
Islamic Republic of Afghanistan,160,Female,<5 years,30,,,,,not_estimable_constant_series
Islamic Republic of Iran,142,Female,10-14 years,30,,,,,not_estimable_constant_series
Islamic Republic of Iran,142,Female,5-9 years,30,,,,,not_estimable_constant_series
Islamic Republic of Iran,142,Female,<5 years,30,,,,,not_estimable_constant_series
Islamic Republic of Mauritania,212,Female,10-14 years,30,,,,,not_estimable_constant_series
Islamic Republic of Mauritania,212,Female,5-9 years,30,,,,,not_estimable_constant_series
Islamic Republic of Mauritania,212,Female,<5 years,30,,,,,not_estimable_constant_series
Islamic Republic of Pakistan,165,Female,10-14 years,30,,,,,not_estimable_constant_series
Islamic Republic of Pakistan,165,Female,5-9 years,30,,,,,not_estimable_constant_series
Islamic Republic of Pakistan,165,Female,<5 years,30,,,,,not_estimable_constant_series
Jamaica,115,Female,10-14 years,30,,,,,not_estimable_constant_series
Jamaica,115,Female,5-9 years,30,,,,,not_estimable_constant_series
Jamaica,115,Female,<5 years,30,,,,,not_estimable_constant_series
Japan,67,Female,10-14 years,30,,,,,not_estimable_constant_series
Japan,67,Female,5-9 years,30,,,,,not_estimable_constant_series
Japan,67,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Bahrain,140,Female,10-14 years,30,,,,,not_estimable_constant_series
