location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status,weighted_fdr,bh_family
Georgia,35,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Grand Duchy of Luxembourg,87,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Greenland,349,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Grenada,112,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Guam,351,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Hashemite Kingdom of Jordan,144,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Hellenic Republic,82,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Hungary,48,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Independent State of Papua New Guinea,26,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Independent State of Samoa,27,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Ireland,84,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Islamic Republic of Afghanistan,160,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Islamic Republic of Iran,142,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Islamic Republic of Mauritania,212,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Islamic Republic of Pakistan,165,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Jamaica,115,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Japan,67,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Bahrain,140,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Belgium,76,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Bhutan,162,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Cambodia,10,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Denmark,78,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Eswatini,197,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Lesotho,194,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Morocco,148,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Norway,90,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Saudi Arabia,152,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Spain,92,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Sweden,93,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Thailand,18,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of Tonga,29,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kingdom of the Netherlands,89,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Kyrgyz Republic,37,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Lao People's Democratic Republic,12,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
