sum.w,X.Intercept.,DD_z,SDI_z,PM25_z,X.Intercept._se,DD_z_se,SDI_z_se,PM25_z_se,gwr.e,pred,pred.se,localR2,X.Intercept._se_EDF,DD_z_se_EDF,SDI_z_se_EDF,PM25_z_se_EDF,pred.se.1,lng,lat,location_name,analysis,n,bandwidth_km,exposure_local_se,exposure_name,exposure_local_beta,exposure_local_t,IHD_z,IHD_z_se,IHD_z_se_EDF
5.53125151904179,-0.166183512631775,-0.168266212868692,-0.0535538103039226,0.0886472511425426,1.24962062111031,0.816050337713311,0.443417198110428,1.03072086182056,0.00837412960303531,-0.0197359822527476,0.468816528444875,0.523768653835067,1.35654231548657,0.885874317352103,0.48135744760424,1.11891276511749,0.508930029075475,-170.7046,-14.274,American Samoa,Full 204: DD association with IHD,204,942.565312830121,0.816050337713311,DD_z,-0.168266212868692,-0.206195874313585,,,
12.4681822662875,-0.0791863885356629,0.0717777437437628,0.0895194917747911,0.136225502310767,0.152923505269395,0.197355866050892,0.253168220342183,0.366925743512325,0.00906856517578814,-0.107963269927188,0.191283299778773,0.750683501787892,0.166008148734091,0.214242290007713,0.274830134865613,0.398321129875064,0.207650134778707,-61.85,17.1167,Antigua and Barbuda,Full 204: DD association with IHD,204,942.565312830121,0.197355866050892,DD_z,0.0717777437437628,0.363697037134197,,,
11.9931730037548,0.944133269234478,0.381684043087037,-0.642940223855281,0.840662561621465,0.130648789797674,0.114977500612059,0.158775468688946,0.106363456083569,-0.359994390074269,3.11451136075456,0.260752925748728,0.727008955459405,0.141827534560194,0.124815357776792,0.172360825597127,0.115464266963326,0.283063812880094,31.2358,30.0444,Arab Republic of Egypt,Full 204: DD association with IHD,204,942.565312830121,0.114977500612059,DD_z,0.381684043087037,3.31964115635859,,,
3.34139477975195,-0.893452123381582,-0.38220685386724,-0.130434116714661,0.0291696173258983,0.619206627190923,0.638371547329575,0.767547424121725,0.932129495294473,0.00168387057313913,-0.68123831405082,0.476017701688998,0.920834324366219,0.672188004602439,0.692992739016875,0.833221333238483,1.01188559353044,0.516747358640766,-58.3814,-34.6036,Argentine Republic,Full 204: DD association with IHD,204,942.565312830121,0.638371547329575,DD_z,-0.38220685386724,-0.598721630790221,,,
1.0290266346784,-2.1512674010237,0.0548875063271865,-0.862642296187724,-2.30867627119922,2.2510825891838,0.772793872006425,0.964833000365172,3.01572708149792,0.000114758851450131,-0.806063622389757,0.499693539885313,0.99774264597005,2.44369269864451,0.838916684644629,1.04738731920917,3.2737627155799,0.542448980257235,144.9631,-37.8142,Australia,Full 204: DD association with IHD,204,942.565312830121,0.772793872006425,DD_z,0.0548875063271865,0.0710247691078096,,,
12.0231834718692,-0.0948311808296162,0.0644827307582943,0.123645887019891,0.152915650032397,0.158119286546451,0.192011582891057,0.280613706135843,0.376524683035636,-0.0195698509673141,-0.0450746908688181,0.234107093289331,0.817450443770264,0.171648498329215,0.208440732215063,0.304623947659055,0.408741386573132,0.254138074418432,-59.6131,13.0969,Barbados,Full 204: DD association with IHD,204,942.565312830121,0.192011582891057,DD_z,0.0644827307582943,0.335827296392219,,,
8.07582049131848,-0.213740059551337,-0.155795945202174,0.074942266232494,0.296864155973217,0.265011068434667,0.420167153551976,0.291050840850179,0.547176146228546,-0.0308076684921268,-0.084730016280523,0.397366623046276,0.654556680369187,0.287686296409313,0.456118051944729,0.31595411831505,0.593994356242592,0.431366632254613,-88.1886,17.4986,Belize,Full 204: DD association with IHD,204,942.565312830121,0.420167153551976,DD_z,-0.155795945202174,-0.370795155892406,,,
4.01390790734616,-0.131391350597953,-0.363432194427967,-0.140971702409963,0.118630133021643,0.200965197267557,0.274852347136677,0.278717323862326,0.454651047089158,0.101840372817032,-0.236997489957301,0.277446798181772,0.936745044701121,0.218160447601545,0.298369627631803,0.302565304614194,0.493552502045558,0.301186068532883,-64.7819,32.2942,Bermuda,Full 204: DD association with IHD,204,942.565312830121,0.274852347136677,DD_z,-0.363432194427967,-1.32228157486769,,,
11.9497861503629,-0.0982409743068592,0.096490193253007,0.131769099750992,0.201078286513986,0.14773445753202,0.181808758217584,0.241386030226324,0.353824777494705,-0.0507641656163165,-0.292996146954028,0.207343344683455,0.868832117722804,0.160375108822686,0.197364919945928,0.262039821396658,0.384099201654272,0.225084330512815,-66.9036,10.4806,Bolivarian Republic of Venezuela,Full 204: DD association with IHD,204,942.565312830121,0.181808758217584,DD_z,0.096490193253007,0.530723570189783,,,
26.0236288700097,1.1651745828561,0.281914838465313,-1.16645782880319,0.653411012363393,0.197174354193927,0.0915746890115254,0.289965206517035,0.232840444609255,-0.902708629536807,0.5627632065935,0.156058450985475,0.726358071634891,0.214045247392877,0.0994101238192441,0.314775593499458,0.252763047066648,0.169411330826938,18.4131,43.8564,Bosnia and Herzegovina,Full 204: DD association with IHD,204,942.565312830121,0.0915746890115254,DD_z,0.281914838465313,3.0785235692128,,,
