location_name,longitude,latitude,analysis,outcome,exposure,bandwidth_km,local_beta,local_se,local_t,ISO3,small_island_excluded
Guam,144.7332,13.4692,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.170743062309774,0.365337426711259,0.467357160329261,GUM,TRUE
Hashemite Kingdom of Jordan,35.9328,31.9497,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.16830700615803,0.0779942747270965,2.15794052508264,JOR,FALSE
Hellenic Republic,23.7281,37.9842,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.205916480783785,0.0729782381638098,2.82161485347971,GRC,FALSE
Hungary,19.0408,47.4983,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.21219980639591,0.0774000614766989,2.74159738826296,HUN,FALSE
Independent State of Papua New Guinea,147.14940000000001,-9.4789,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.20077050435807,0.44612118619645,-0.450035798725014,PNG,TRUE
Independent State of Samoa,-171.75,-13.8333,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.16348262439811,1.28784310268368,-0.903435070602609,WSM,TRUE
Ireland,-6.2603,53.3497,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.150190928685478,0.0895382871112107,1.67739336468357,IRL,FALSE
Islamic Republic of Afghanistan,69.1783,34.5253,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.142803430114988,0.0983848215967458,1.45147826460775,AFG,FALSE
Islamic Republic of Iran,51.3897,35.6889,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.123453476425629,0.0856311089014808,1.4416895683047,IRN,FALSE
Islamic Republic of Mauritania,-15.9785,18.0858,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.23748561408688,0.122264457754082,1.94239289528073,MRT,FALSE
Islamic Republic of Pakistan,67.01,24.86,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.187744595346057,0.0974814931625763,1.92595116524265,PAK,FALSE
Jamaica,-76.7931,17.9714,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.115576801851882,0.526660404730917,-0.219452233001895,JAM,TRUE
Japan,139.7495,35.687,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.398909634418703,0.297078709109338,1.34277422846848,JPN,FALSE
Kingdom of Bahrain,50.5875,26.2233,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.11900795345881,0.087610760450221,1.35837142432325,BHR,TRUE
Kingdom of Belgium,4.3525,50.8467,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.188155577283823,0.0819656881137615,2.29554075142612,BEL,FALSE
Kingdom of Bhutan,89.6361,27.4722,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.3769040037732,0.117248670722764,3.21456952517948,BTN,FALSE
Kingdom of Cambodia,104.921,11.5696,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.647906234382213,0.184299671201254,3.5155040166876,KHM,FALSE
Kingdom of Denmark,12.5615,55.6805,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.212097756547636,0.0883324917433131,2.40112955450158,DNK,FALSE
Kingdom of Eswatini,31.388,-26.495,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.138249822662886,0.234717354686809,-0.589005541781762,SWZ,FALSE
Kingdom of Lesotho,27.48,-29.31,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.154781761663659,0.276826936899225,-0.559128253187314,LSO,FALSE
Kingdom of Morocco,-7.5833,33.5333,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.198282271147045,0.0963188209532346,2.05860359569098,MAR,FALSE
Kingdom of Norway,10.7389,59.9133,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.212220918404752,0.0975199813049421,2.17617882576437,NOR,FALSE
Kingdom of Saudi Arabia,46.71,24.65,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.123375870372588,0.0862637886506011,1.43021622748688,SAU,FALSE
Kingdom of Spain,-3.7033,40.4169,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.185765519985263,0.0872705786860425,2.1286156546934,ESP,FALSE
Kingdom of Sweden,18.0547,59.3275,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.228391796338641,0.0975521603125936,2.34122745828271,SWE,FALSE
Kingdom of Thailand,100.4942,13.7525,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.581726541866399,0.163499112514595,3.55797981358749,THA,FALSE
Kingdom of Tonga,-175.2,-21.1333,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.30723802863611,1.15701367918928,-1.12983800636834,TON,TRUE
Kingdom of the Netherlands,5.0911,51.5572,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.190036422348459,0.0824099947207788,2.30598755639215,NLD,FALSE
Kyrgyz Republic,74.5667,42.8667,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.127233217428344,0.103319150076961,1.23145822757513,KGZ,FALSE
Lao People's Democratic Republic,102.63,17.98,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.560191300511924,0.155015604470483,3.61377360960194,LAO,FALSE
Lebanese Republic,35.5058,33.8981,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.172138981594785,0.0776679676331084,2.21634461207925,LBN,FALSE
Malaysia,101.698,3.1686,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.700955522750696,0.212852181698805,3.29315639217914,MYS,FALSE
Mongolia,106.9055,47.9214,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.390691640207856,0.13013845126003,3.00212301917758,MNG,FALSE
Montenegro,19.2628,42.4414,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.209959817444104,0.0738181959729228,2.84428269584262,MNE,FALSE
New Zealand,174.7653,-36.8492,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.60707749801011,0.907445175226382,-1.77099128617792,NZL,FALSE
North Macedonia,21.4317,41.9961,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.208882846590518,0.073903602164941,2.82642307643306,MKD,FALSE
Northern Mariana Islands,145.7546,15.2137,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.166092027954874,0.372099221318109,0.446364889898228,MNP,TRUE
Palestine,34.456,31.5069,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.173154635296184,0.0771555528299963,2.24422778329009,PSE,FALSE
People's Democratic Republic of Algeria,3.0872,36.7325,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.20842298910455,0.0804557072202209,2.59053081882756,DZA,FALSE
People's Republic of Bangladesh,90.3944,23.7289,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.402687446103996,0.121788796181859,3.30644081170397,BGD,FALSE
People's Republic of China,113.26,23.13,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.575349257602889,0.167956186266591,3.42559134255203,CHN,FALSE
Plurinational State of Bolivia,-63.1975,-17.7892,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.155951935934904,0.419079404726145,0.372129802076085,BOL,FALSE
Portuguese Republic,-9.134,38.7122,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.177560491977478,0.0955301307903794,1.85868574143478,PRT,FALSE
