"location_name","origin","specification","model","year","horizon","IHD_pred","DD_pred"
"Kingdom of the Netherlands",2021,"Harmonized","ARIMAX",2030,9,358.656050410332,4586.68413632832
"Kyrgyz Republic",2021,"Harmonized","ARIMAX",2030,9,583.04,4472.09110000213
"Lao People's Democratic Republic",2021,"Harmonized","ARIMAX",2030,9,264.3944253949,2568.85449931679
"Lebanese Republic",2021,"Harmonized","ARIMAX",2030,9,931.42,6819.04416628697
"Malaysia",2021,"Harmonized","ARIMAX",2030,9,320.835955401165,3666.6542392007
"Mongolia",2021,"Harmonized","ARIMAX",2030,9,693.753371087225,4887.83532006274
"Montenegro",2021,"Harmonized","ARIMAX",2030,9,357.361712216998,3028.62937748045
"New Zealand",2021,"Harmonized","ARIMAX",2030,9,257.38,4218.0151706298
"North Macedonia",2021,"Harmonized","ARIMAX",2030,9,399.624699269581,2657.35798415307
"Northern Mariana Islands",2021,"Harmonized","ARIMAX",2030,9,399.525045112936,2628.72620571928
"Palestine",2021,"Harmonized","ARIMAX",2030,9,971.200861123705,9020.07185415432
"People's Democratic Republic of Algeria",2021,"Harmonized","ARIMAX",2030,9,858.65,5009.99745870955
"People's Republic of Bangladesh",2021,"Harmonized","ARIMAX",2030,9,464.44,6152.48951916406
"People's Republic of China",2021,"Harmonized","ARIMAX",2030,9,379.346371195053,2315.59602449183
"Plurinational State of Bolivia",2021,"Harmonized","ARIMAX",2030,9,246.76,4094.27918415867
"Portuguese Republic",2021,"Harmonized","ARIMAX",2030,9,73.3234051577178,5926.74743949434
"Principality of Andorra",2021,"Harmonized","ARIMAX",2030,9,154.888433355394,4548.63945581827
"Principality of Monaco",2021,"Harmonized","ARIMAX",2030,9,154.4,5177.14267444103
"Puerto Rico",2021,"Harmonized","ARIMAX",2030,9,356.302664647722,3168.80033462636
"Republic of Albania",2021,"Harmonized","ARIMAX",2030,9,308.29,2400.21854194236
"Republic of Angola",2021,"Harmonized","ARIMAX",2030,9,351.18870779036,7980.41965395266
"Republic of Armenia",2021,"Harmonized","ARIMAX",2030,9,593.423728262095,3355.24049920717
"Republic of Austria",2021,"Harmonized","ARIMAX",2030,9,192.892387296949,3397.19228650628
"Republic of Azerbaijan",2021,"Harmonized","ARIMAX",2030,9,685.916787248905,3054.26933344222
"Republic of Belarus",2021,"Harmonized","ARIMAX",2030,9,606.69,4861.08587125183
"Republic of Benin",2021,"Harmonized","ARIMAX",2030,9,365.862743077367,5307.70445265399
"Republic of Botswana",2021,"Harmonized","ARIMAX",2030,9,384.187977250122,5541.89018056848
"Republic of Bulgaria",2021,"Harmonized","ARIMAX",2030,9,413.13,3291.67529026243
"Republic of Burundi",2021,"Harmonized","ARIMAX",2030,9,316.694514391895,6122.55454705157
"Republic of Cabo Verde",2021,"Harmonized","ARIMAX",2030,9,394.883702469117,6193.55046262008
"Republic of Cameroon",2021,"Harmonized","ARIMAX",2030,9,340.235900712832,5654.94067010526
"Republic of Chad",2021,"Harmonized","ARIMAX",2030,9,371.838116173609,6529.47915667474
"Republic of Chile",2021,"Harmonized","ARIMAX",2030,9,114.634473074782,5053.23269182108
"Republic of Colombia",2021,"Harmonized","ARIMAX",2030,9,290.476655362771,2549.15644648302
"Republic of Costa Rica",2021,"Harmonized","ARIMAX",2030,9,325.518669763409,3991.33785406687
"Republic of Croatia",2021,"Harmonized","ARIMAX",2030,9,229.58,3320.86271338689
"Republic of Cuba",2021,"Harmonized","ARIMAX",2030,9,391.004793102844,6249.78228845451
"Republic of Cyprus",2021,"Harmonized","ARIMAX",2030,9,88.47,3671.26818818881
"Republic of Côte d'Ivoire",2021,"Harmonized","ARIMAX",2030,9,402.544019408829,4430.32452581653
"Republic of Djibouti",2021,"Harmonized","ARIMAX",2030,9,361.345276474099,5447.23142633067
"Republic of Ecuador",2021,"Harmonized","ARIMAX",2030,9,247.366943252473,4010.10773499595
"Republic of El Salvador",2021,"Harmonized","ARIMAX",2030,9,290.539949292794,4297.05410607088
"Republic of Equatorial Guinea",2021,"Harmonized","ARIMAX",2030,9,387.788344386433,7571.13417618753
"Republic of Estonia",2021,"Harmonized","ARIMAX",2030,9,570.849675481815,4722.28190226522
"Republic of Fiji",2021,"Harmonized","ARIMAX",2030,9,463.035113592282,2596.5232293447
"Republic of Finland",2021,"Harmonized","ARIMAX",2030,9,194.79,5003.61305371388
"Republic of Ghana",2021,"Harmonized","ARIMAX",2030,9,390.08025438351,5173.35269850014
"Republic of Guatemala",2021,"Harmonized","ARIMAX",2030,9,291.110897627615,5119.62679022209
"Republic of Guinea",2021,"Harmonized","ARIMAX",2030,9,378.492521384645,5194.8455640816
"Republic of Guinea-Bissau",2021,"Harmonized","ARIMAX",2030,9,405.67951595049,5379.76020465932
"Republic of Guyana",2021,"Harmonized","ARIMAX",2030,9,398.672815735278,6577.19440204743
"Republic of Haiti",2021,"Harmonized","ARIMAX",2030,9,401.8,4132.23043162934
"Republic of Honduras",2021,"Harmonized","ARIMAX",2030,9,337.82,3925.48285802367
"Republic of Iceland",2021,"Harmonized","ARIMAX",2030,9,209.983039591263,3344.86164898626
"Republic of India",2021,"Harmonized","ARIMAX",2030,9,594.627859086919,4328.12575934154
"Republic of Indonesia",2021,"Harmonized","ARIMAX",2030,9,246.74,2144.54310716891
"Republic of Iraq",2021,"Harmonized","ARIMAX",2030,9,1079.28141983402,4810.73466717103
"Republic of Italy",2021,"Harmonized","ARIMAX",2030,9,166.63023675958,4812.56518212845
"Republic of Kazakhstan",2021,"Harmonized","ARIMAX",2030,9,595.556745967672,4024.42688222305
"Republic of Kenya",2021,"Harmonized","ARIMAX",2030,9,345.710156196532,6041.60306690431
"Republic of Kiribati",2021,"Harmonized","ARIMAX",2030,9,428.239027556632,2828.28634978655
"Republic of Korea",2021,"Harmonized","ARIMAX",2030,9,101.555785226906,2428.09950187889
"Republic of Latvia",2021,"Harmonized","ARIMAX",2030,9,396.758671836754,4699.80927426278
"Republic of Liberia",2021,"Harmonized","ARIMAX",2030,9,394.352490930585,5697.08395068622
"Republic of Lithuania",2021,"Harmonized","ARIMAX",2030,9,398.809472145526,5567.15351683382
"Republic of Madagascar",2021,"Harmonized","ARIMAX",2030,9,346.21,6152.97807498991
"Republic of Malawi",2021,"Harmonized","ARIMAX",2030,9,336.327594938502,5373.29607683926
"Republic of Maldives",2021,"Harmonized","ARIMAX",2030,9,219.921270557684,2800.12297817504
"Republic of Mali",2021,"Harmonized","ARIMAX",2030,9,355.185206273338,3943.64252479493
"Republic of Malta",2021,"Harmonized","ARIMAX",2030,9,99.53,3724.45501026251
"Republic of Mauritius",2021,"Harmonized","ARIMAX",2030,9,224.16,4179.69042361357
"Republic of Moldova",2021,"Harmonized","ARIMAX",2030,9,515.145114377513,4008.85388460125
"Republic of Mozambique",2021,"Harmonized","ARIMAX",2030,9,329.076858934105,6186.47908432635
"Republic of Namibia",2021,"Harmonized","ARIMAX",2030,9,350.132358107567,4435.68203592249
"Republic of Nauru",2021,"Harmonized","ARIMAX",2030,9,400.53,2845.73
"Republic of Nicaragua",2021,"Harmonized","ARIMAX",2030,9,309.390174572699,3969.92839837314
"Republic of Niue",2021,"Harmonized","ARIMAX",2030,9,393.625041585141,3126.67542242599
"Republic of Palau",2021,"Harmonized","ARIMAX",2030,9,362.3440078441,3073.27540226628
"Republic of Panama",2021,"Harmonized","ARIMAX",2030,9,297.961560778971,3583.62318665608
"Republic of Paraguay",2021,"Harmonized","ARIMAX",2030,9,178.298846380737,3864.77147547021
"Republic of Peru",2021,"Harmonized","ARIMAX",2030,9,229.382393814911,2361.87996378653
"Republic of Poland",2021,"Harmonized","ARIMAX",2030,9,227.31,2304.02665196052
"Republic of Rwanda",2021,"Harmonized","ARIMAX",2030,9,293.568406910888,5871.25
