location_name,corrected_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,diagnostics,small_island_excluded,submitted_direction,submitted_IHD_to_DD_p,submitted_IHD_to_DD_q,submitted_DD_to_IHD_p,submitted_DD_to_IHD_q,classification_changed
Federal Democratic Republic of Nepal,DD_to_IHD,0.496734694017139,0.718816670460909,0.000000000000000000000100725062470002,0.000000000000000000000662835894963886,Residual serial correlation flag,FALSE,DD_to_IHD,0.199911766807718,0.254887502679841,0,0,FALSE
Federal Republic of Germany,DD_to_IHD,0.312889979367046,0.718816670460909,0.00000000234174908828434,0.00000000401442700848744,Influence flag,FALSE,DD_to_IHD,0.206014736477094,0.261037305846753,0.0000210500293174043,0.000034080999847226,FALSE
Federal Republic of Nigeria,DD_to_IHD,0.205120582516119,0.718816670460909,0.00000000000235993319324517,0.0000000000049631584682682,Residual serial correlation flag,FALSE,DD_to_IHD,0.105808520700089,0.149895404325125,0.0000000000198444594090574,0.0000000000465318358557209,FALSE
Federal Republic of Somalia,DD_to_IHD,0.474130162046664,0.718816670460909,0.000000000000000728605667823662,0.00000000000000203610351008256,Influence flag,FALSE,DD_to_IHD,0.461889406641777,0.50387935270012,0,0,FALSE
Federated States of Micronesia,DD_to_IHD,0.535564357666056,0.718816670460909,0.0000000000000297744398777462,0.0000000000000723093539888122,Influence flag,TRUE,DD_to_IHD,0.560178902929873,0.598306262815152,0,0,FALSE
Federative Republic of Brazil,DD_to_IHD,0.929218136296343,0.929218136296343,0.00000000000131679534765033,0.00000000000282764474653334,Influence flag,FALSE,DD_to_IHD,0.719312262868091,0.741109604167125,0.000000000000028199664825479,0.0000000000000845989944764369,FALSE
French Republic,DD_to_IHD,0.867387605372189,0.87166045071885,0.000000000000000000000000000465882290751559,0.0000000000000000000000000346826049909825,Residual serial correlation flag,FALSE,DD_to_IHD,0.512987147362379,0.55370041302606,0,0,FALSE
Gabonese Republic,DD_to_IHD,0.311988818515287,0.718816670460909,0.00000000000000000000000000436008413462131,0.000000000000000000000000127065309066107,Influence flag,FALSE,DD_to_IHD,0.382143264973484,0.428336406893355,0.0000000000000138777878078145,0.0000000000000422547569073754,FALSE
Georgia,DD_to_IHD,0.57979437237034,0.72919300389818,0.000000000000000000000000339716283309186,0.00000000000000000000000533093244577492,Residual serial correlation flag,FALSE,Bidirectional,0.000000000000000222044604925031,0.0000000000000452970994047064,0.000000000000000222044604925031,0.000000000000000719001577852482,TRUE
Grand Duchy of Luxembourg,Neither,0.420057466607262,0.718816670460909,0.459783649481229,0.469559436259623,Influence flag,FALSE,IHD_to_DD,0.0159461277138272,0.0315826218798131,0.0735760261819576,0.0882912314183491,TRUE
Greenland,DD_to_IHD,0.630453683721514,0.749405188578252,0.00079779127976687,0.00100462605600273,Residual serial correlation flag,FALSE,Bidirectional,0.00794810858644424,0.0200448997415959,0.00492376747474643,0.00648031332160176,TRUE
Grenada,Neither,0.513443721956264,0.718816670460909,0.852723843473201,0.861166653804618,Influence flag,TRUE,Neither,0.0591311781864443,0.0900205996271242,0.184765314117368,0.201562160855311,FALSE
Guam,DD_to_IHD,0.461820203004317,0.718816670460909,0.0000776600390358372,0.000102874337424096,Influence flag,TRUE,Bidirectional,0.0061683837697103,0.016778003853612,0.0000586723137242506,0.0000920703999980548,TRUE
Hashemite Kingdom of Jordan,DD_to_IHD,0.778202533216255,0.814119573210851,0.0000000000000000000000049811371249808,0.0000000000000000000000433196487770884,Influence flag,FALSE,DD_to_IHD,0.238507568125099,0.290158452599715,0,0,FALSE
Hellenic Republic,DD_to_IHD,0.0651347624112152,0.531499661275516,0.0000382160067841672,0.0000516295720792723,Residual serial correlation flag,FALSE,DD_to_IHD,0.723257187431612,0.74142947857311,0.00000000000767308439009184,0.0000000000190891367753504,FALSE
Hungary,DD_to_IHD,0.4597969257955,0.718816670460909,0.000000000000000000935014814811145,0.00000000000000000346805494948134,Influence flag,FALSE,DD_to_IHD,0.116760958386258,0.162035615719705,0,0,FALSE
Independent State of Papua New Guinea,Neither,0.397817339813157,0.718816670460909,0.295169582525804,0.307217320588082,Residual serial correlation flag,TRUE,Bidirectional,0.0000220034959794724,0.000280544573738273,0.0000712099392629062,0.0001100517243154,TRUE
Independent State of Samoa,Neither,0.688563951127304,0.772661502849497,0.460352388489827,0.469559436259623,Influence flag,TRUE,Bidirectional,0.0235161660968768,0.0444194248496562,0.0139347600994522,0.0177668191268015,TRUE
Ireland,Neither,0.221551693922069,0.718816670460909,0.154165952746587,0.161281304411814,Influence flag,FALSE,Bidirectional,0.0126968780741534,0.0269862481694242,0.000682746640536025,0.000980847286403867,TRUE
Islamic Republic of Afghanistan,DD_to_IHD,0.701092876169135,0.777594157184573,0.00000424439619326878,0.00000618469159590593,Influence flag,FALSE,Neither,0.155244745191381,0.205648883240531,0.49350581843826,0.505905462117614,TRUE
