location_name,ISO3,longitude,latitude,selected_lag_BIC,primary_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,HC3_direction,IHD_to_DD_p_HC3,IHD_to_DD_q_HC3,DD_to_IHD_p_HC3,DD_to_IHD_q_HC3,IHD_to_DD_BG_p,DD_to_IHD_BG_p,diagnostics,small_island_excluded
Democratic Socialist Republic of Sri Lanka,LKA,79.8333,6.9167,3,DD -> IHD,0.109783661476448,0.718816670460909,0.0000000000000000000789511305267458,0.000000000000000000350131100596873,Neither,0.611196590715143,0.916769859708322,0.520584711179043,0.952675610449616,0.391152033112343,0.00770686894701218,Residual serial correlation flag,FALSE
Dominican Republic,DOM,-70.6889,19.4572,2,DD -> IHD,0.445027973965701,0.718816670460909,0.0000000000000323573705765976,0.0000000000000767546929956501,Neither,0.734654144122665,0.916769859708322,0.00325530740204846,0.0553402258348238,0.00841906917499326,0.0488069389546289,Residual serial correlation flag,TRUE
Eastern Republic of Uruguay,URY,-56.1842,-34.9056,2,DD -> IHD,0.559584207953355,0.72710304727697,0.00000000000000741661016131774,0.0000000000000199077430645897,Neither,0.701310763881794,0.916769859708322,0.188155514229969,0.752622056919876,0.0658549532987888,0.0557599872185002,Influence flag,FALSE
Federal Democratic Republic of Ethiopia,ETH,38.74,9.03,2,DD -> IHD,0.336364035452612,0.718816670460909,0.000000000000000000000000923652423150125,0.0000000000000000000000099171102275066,DD -> IHD,0.505570364549097,0.916769859708322,0.00141958571448505,0.0263268623413591,0.753419946172979,0.0211707674976839,Residual serial correlation flag,FALSE
Federal Democratic Republic of Nepal,NPL,85.32,27.71,2,DD -> IHD,0.496734694017139,0.718816670460909,0.000000000000000000000100725062470002,0.000000000000000000000662835894963886,Neither,0.786023428749602,0.916769859708322,0.254909792148005,0.816846289062875,0.0135462122527017,0.15016278701172,Residual serial correlation flag,FALSE
Federal Republic of Germany,DEU,13.405,52.52,2,DD -> IHD,0.312889979367046,0.718816670460909,0.00000000234174908828434,0.00000000401442700848744,Neither,0.43318537938682,0.916769859708322,0.637618244793296,0.965817692352022,0.771079041186744,0.0923147693982803,Influence flag,FALSE
Federal Republic of Nigeria,NGA,3.3841,6.455,3,DD -> IHD,0.205120582516119,0.718816670460909,0.00000000000235993319324517,0.0000000000049631584682682,Neither,0.840596564375738,0.916769859708322,0.711175394718815,0.967016766223359,0.293255067383834,0.0250254808200886,Residual serial correlation flag,FALSE
Federal Republic of Somalia,SOM,45.3419,2.0392,3,DD -> IHD,0.474130162046664,0.718816670460909,0.000000000000000728605667823662,0.00000000000000203610351008256,Neither,0.80963067067242,0.916769859708322,0.502106131749182,0.94842269330401,0.302778526700774,0.266404701117015,Influence flag,FALSE
Federated States of Micronesia,FSM,151.8583,7.4417,3,DD -> IHD,0.535564357666056,0.718816670460909,0.0000000000000297744398777462,0.0000000000000723093539888122,Neither,0.671891492316707,0.916769859708322,0.809339244681646,0.982769082827713,0.269107776207464,0.695243726532315,Influence flag,TRUE
Federative Republic of Brazil,BRA,-46.6339,-23.5504,2,DD -> IHD,0.929218136296343,0.929218136296343,0.00000000000131679534765033,0.00000000000282764474653334,Neither,0.947338586019986,0.947338586019986,0.10653419182917,0.580725411543763,0.43011150183791,0.124417790618873,Influence flag,FALSE
