location_name,IHD_to_DD_status,IHD_to_DD_p,IHD_to_DD_BG_p,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_p,DD_to_IHD_BG_p,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,direction
American Samoa,fit_ok,0.934364534008506,0.00301521331481067,,fit_ok,0.747481868850835,0.893346382149586,,0.949059855479497,0.777991332885562,Neither
Antigua and Barbuda,fit_ok,0.265563989444405,0.832351541929078,,fit_ok,0.0656485999046489,0.000406338721858924,,0.545021320493047,0.0821614379174747,Neither
Arab Republic of Egypt,fit_ok,0.317506561449714,0.96554916534544,,fit_ok,0.00000000000233964925049002,0.0000409867870574727,,0.545021320493047,0.00000000000782440077213056,DD_to_IHD
Argentine Republic,fit_ok,0.184859029480375,0.856703208900523,,fit_ok,0.0000814857932236408,0.000226127354105291,,0.545021320493047,0.000135147169248965,DD_to_IHD
Australia,fit_ok,0.772828573253773,0.297241574169487,,fit_ok,0.00117590693145562,0.0000567177603463238,,0.875872383020943,0.00170131215614856,DD_to_IHD
Barbados,fit_ok,0.84026867646458,0.75798704375637,,fit_ok,0.000139559260641015,0.000474722125291533,,0.911780904248799,0.000229597493312638,DD_to_IHD
Belize,fit_ok,0.358298085762916,0.72937888913527,,fit_ok,0.00036344025834167,0.0000104471019835488,,0.550378782615071,0.000561680399255308,DD_to_IHD
Bermuda,fit_ok,0.339324880988946,0.0923135385793586,,fit_ok,0.308150906051173,0.0000125586493195416,,0.545021320493047,0.349237693524663,Neither
Bolivarian Republic of Venezuela,fit_ok,0.186614649257057,0.0724935876625365,,fit_ok,0.000000000000000000016345504641558,0.0000797013241690375,,0.545021320493047,0.000000000000000000196146055698696,DD_to_IHD
Bosnia and Herzegovina,fit_ok,0.198281974625864,0.0741485954681443,,fit_ok,0.0949818914394739,0.0000812548606601174,,0.545021320493047,0.11533515389079,Neither
Brunei Darussalam,fit_ok,0.94440760128597,0.0716266811832615,,fit_ok,0.00000013621748940062,0.00010205807067776,,0.949059855479497,0.000000305366679535457,DD_to_IHD
Burkina Faso,fit_ok,0.220895343168717,0.667255859618853,,fit_ok,0.00894105876788489,0.0000288758173191229,,0.545021320493047,0.0120793111831028,DD_to_IHD
Canada,fit_ok,0.189970906505532,0.393949750229866,,fit_ok,0.913391169746614,0.0000561980388148015,,0.545021320493047,0.922584435716067,Neither
Central African Republic,fit_ok,0.225066294071381,0.0446014346512669,,fit_ok,0.00000000000000000000000335635219845813,0.0000142153373164825,,0.545021320493047,0.000000000000000000000114115974747576,DD_to_IHD
