location_name,sex_name,n_age_groups,correlation,p_value,fdr_pvalue,bh_family,small_island_excluded,fdr_pvalue_SID_excluded,significant_full_BH,significant_SID_excluded_BH,bh_family_SID_excluded
Democratic People's Republic of Korea,Male,20,0.796594665299277,0.0000263369604239599,0.000298485551471546,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.000261723544213102,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Democratic Republic of Timor-Leste,Female,20,0.419615618286959,0.0655009500645535,0.151843111513283,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.150936971887884,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Democratic Republic of Timor-Leste,Male,20,0.515746471363818,0.0199318563281205,0.0376490619531165,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0352129461796796,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Democratic Republic of the Congo,Female,20,0.575901801128254,0.00787599534736876,0.0377284337831285,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0332751937274574,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Democratic Republic of the Congo,Male,20,0.695314184899303,0.000665442640037073,0.00295109344712093,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00246059022711383,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Democratic Socialist Republic of Sri Lanka,Female,20,0.169198947027104,0.475767941969387,0.624429872408403,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.660202836965815,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Democratic Socialist Republic of Sri Lanka,Male,20,0.182875221878269,0.440277291996181,0.522189346321051,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.538492995595329,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Eastern Republic of Uruguay,Female,20,-0.129415937406689,0.586582543682975,0.716543945576807,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.740211305123754,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Eastern Republic of Uruguay,Male,20,-0.01176000110532,0.960754058501017,0.975093671314465,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.979230098087575,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Federal Democratic Republic of Ethiopia,Female,20,0.681458157442363,0.000937787668493321,0.00831776888576684,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0074554119645219,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Federal Democratic Republic of Ethiopia,Male,20,0.746131280842043,0.000158370276764023,0.00100961051437064,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.000868306000188954,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Federal Democratic Republic of Nepal,Female,20,0.277598121626876,0.236022244307077,0.373244479369331,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.382934049436992,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Federal Democratic Republic of Nepal,Male,20,0.428756713706319,0.059257886556568,0.0990869578486875,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0951717571969122,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Federal Republic of Germany,Female,20,0.0920955417882868,0.699373341931456,0.801528998618073,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.81764971593457,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Federal Republic of Germany,Male,20,0.205684125641984,0.384313870008427,0.480981775961467,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.484967502629682,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Federal Republic of Nigeria,Female,20,0.835071837139161,0.00000463529746891894,0.000945600683659464,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.000737012297558112,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Federal Republic of Nigeria,Male,20,0.890956515335011,0.000000138504702528866,0.0000282549593158888,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0000220222477020897,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Federal Republic of Somalia,Female,20,0.535026151501593,0.0150671967109536,0.0570868992094841,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0522323227421814,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Federal Republic of Somalia,Male,20,0.684243475586707,0.000876560618583547,0.00327288906337823,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0027510010437565,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Federative Republic of Brazil,Female,20,0.0312104442751629,0.896074955937563,0.930327416291984,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.932281885653942,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Federative Republic of Brazil,Male,20,0.559205063740515,0.0103653690917021,0.021799332935126,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0205347918319748,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
French Republic,Female,20,0.0994384031886618,0.676602046850839,0.78569319405044,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.8028962803254,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
French Republic,Male,20,0.202388250825582,0.392144196418116,0.481912144995756,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.490952182917169,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Gabonese Republic,Female,20,0.534830515493964,0.0151112380260399,0.0570868992094841,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0522323227421814,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Gabonese Republic,Male,20,0.633168264422418,0.00272904333167736,0.00809527348414565,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00690107183505983,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Georgia,Female,20,0.467123721711078,0.0378419740123565,0.104321117547577,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.101980913016351,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Georgia,Male,20,0.669737890868612,0.00123653085729758,0.00434917749808115,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00364089641315399,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Grand Duchy of Luxembourg,Female,20,0.261183849318014,0.266015298103892,0.40312028043298,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.415848559183676,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
