sex_name,age_name,full_country_n,full_median,full_q1,full_q3,retained_country_n,SID_excluded_median,SID_excluded_q1,SID_excluded_q3,median_change
Female,15-19 years,204,0.117498411317855,-0.190851532448656,0.407365715002073,159,0.0837102362695938,-0.201645751316513,0.355192566008007,-0.0337881750482612
Female,20-24 years,204,0.154169698943766,-0.194119178978791,0.435696220611288,159,0.0957788297221717,-0.249367632876087,0.399641563989394,-0.0583908692215938
Female,25-29 years,204,0.141530234646047,-0.219325474898543,0.413383333478014,159,0.076382055044251,-0.258085433430413,0.386897946417008,-0.065148179601796
Female,30-34 years,204,0.141305149864139,-0.246354238449499,0.415550190643035,159,0.0659418401000889,-0.273549808755441,0.392494399307298,-0.0753633097640496
Female,35-39 years,204,0.123834706623813,-0.309040547909587,0.436976303674743,159,0.0884652610505487,-0.316546266955959,0.44688385946862,-0.0353694455732648
Female,40-44 years,204,0.152661530522021,-0.342522708746484,0.425426561727695,159,0.0997329317202099,-0.353341816776878,0.423615141609812,-0.0529285988018111
Female,45-49 years,204,0.126399286800539,-0.31897571103254,0.410709005862522,159,0.0539371842997916,-0.335595573231179,0.416905917814428,-0.0724621025007474
Female,50-54 years,204,0.183092836756991,-0.283722798828526,0.465093862367952,159,0.0877342134510095,-0.313557531345778,0.470338684712662,-0.0953586233059815
Female,55-59 years,204,0.210153839590338,-0.262038284111193,0.521466109218727,159,0.112899940413118,-0.274568159656285,0.526266251383321,-0.0972538991772195
Female,60-64 years,204,0.263269783111421,-0.22545655856264,0.536598134876504,159,0.228952486114368,-0.248205777565281,0.534043848908975,-0.0343172969970525
Female,65-69 years,204,0.311886091951616,-0.30417925657534,0.600001807499154,159,0.279417689370395,-0.3284189134781,0.607252535991345,-0.032468402581221
Female,70-74 years,204,0.349520644610021,-0.240843647226083,0.634975977134192,159,0.313112401630347,-0.309920120358755,0.630617866821674,-0.0364082429796735
Female,75-79 years,204,0.345977694594684,-0.272466392486071,0.68186665327519,159,0.3747753381365,-0.299175233928155,0.703308745479231,0.0287976435418165
Female,80-84 years,204,0.233138192962143,-0.328012332279845,0.698901375077935,159,0.239680317732844,-0.412666456269293,0.723580513722514,0.00654212477070101
Female,85-89 years,204,0.157482230808748,-0.4829524125107,0.615253399930406,159,0.213900897256381,-0.584786458863353,0.678101660702649,0.0564186664476335
Female,90-94 years,204,0.0936848961435213,-0.45731683517551,0.52826424273446,159,0.12414259733374,-0.50848827819656,0.582798429412776,0.0304577011902187
Female,95+ years,204,0.0310819072674618,-0.301340615820834,0.409102106346071,159,0.0660245064224775,-0.281340501238116,0.446859716252098,0.0349425991550157
Male,15-19 years,204,0.00179143562704534,-0.316762497263381,0.298444572529055,159,0.0705162234278109,-0.274019558190539,0.345495429534085,0.0687247878007656
Male,20-24 years,204,0.0177182720827741,-0.340937785065016,0.359482338494546,159,0.0155541923551919,-0.328971097267955,0.392986972797786,-0.00216407972758215
Male,25-29 years,204,0.0700700593775305,-0.303463529941627,0.397852336295444,159,0.0538877769773453,-0.289600286044735,0.412704712943551,-0.0161822824001852
Male,30-34 years,204,-0.00567956753245736,-0.376190691610089,0.37287876608552,159,-0.0235488723039831,-0.388237321682731,0.386330185773831,-0.0178693047715257
Male,35-39 years,204,-0.0333678878562882,-0.366054898019522,0.347245216020489,159,-0.0577281174483604,-0.379561087457346,0.400222778261591,-0.0243602295920722
Male,40-44 years,204,-0.0425417937861995,-0.377598708257122,0.310043375193521,159,-0.050023473321618,-0.378875099907551,0.311433962214709,-0.00748167953541856
Male,45-49 years,204,-0.0117598011113997,-0.446391029294139,0.347524930551884,159,-0.0263962065121754,-0.473893552856342,0.346479925424681,-0.0146364054007758
Male,50-54 years,204,-0.0569818891426049,-0.38956183508834,0.359126162518638,159,-0.0570892391702054,-0.386832935402195,0.375624402599138,-0.000107350027600546
Male,55-59 years,204,-0.0337307538172309,-0.360912834977106,0.391881848700711,159,-0.0389630185941865,-0.362289573256526,0.429816382016247,-0.00523226477695561
Male,60-64 years,204,0.0573396524996679,-0.350789757493017,0.423688830085618,159,0.0498593029240559,-0.384139539721921,0.44290964026926,-0.00748034957561199
Male,65-69 years,204,0.104226755346264,-0.371220651937673,0.515647726229362,159,0.0944451289294496,-0.396232485134887,0.510740233775155,-0.00978162641681489
Male,70-74 years,204,0.116345962541408,-0.429507633579956,0.610530699941034,159,0.11142090007712,-0.484316581578981,0.589974975457068,-0.00492506246428801
Male,75-79 years,204,0.164770177554169,-0.481775413968756,0.644313648932757,159,0.177057227949624,-0.534489076283298,0.654830989255027,0.0122870503954555
Male,80-84 years,204,0.154315229301732,-0.494751663775303,0.6729883714606,159,0.234733113802427,-0.561851696964158,0.712550584943288,0.0804178845006955
Male,85-89 years,204,0.094771779634908,-0.48342999801129,0.601216442633137,159,0.178703346943773,-0.439521825945912,0.63446813256093,0.083931567308865
Male,90-94 years,204,0.0841344931021195,-0.476396889866974,0.518755200285891,159,0.126393699425749,-0.441488339833104,0.580384515845067,0.0422592063236295
Male,95+ years,204,0.123286192508978,-0.28457341107472,0.476823453378067,159,0.161806191687684,-0.285948755562779,0.502480318120601,0.038519999178706
