"origin","specification","model","year","horizon","n_countries","n_valid","n_high"
2021,"Original","ARIMAX",2029,8,204,204,14
2021,"Original","ARIMAX",2030,9,204,204,13
2021,"Original","VARX",2022,1,204,204,17
2021,"Original","VARX",2023,2,204,204,16
2021,"Original","VARX",2024,3,204,204,21
2021,"Original","VARX",2025,4,204,204,19
2021,"Original","VARX",2026,5,204,204,20
2021,"Original","VARX",2027,6,204,204,18
2021,"Original","VARX",2028,7,204,204,19
2021,"Original","VARX",2029,8,204,204,20
2021,"Original","VARX",2030,9,204,204,19
